,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,23.28,0.3,0.29,0.41,0.42,0.32,0.73,0.81,0.68,1.33,0.76,0.82,0.83,0.83,0.16,0.91
f_1,0.64,24.69,0.29,0.33,0.42,0.31,0.71,0.59,0.69,0.8,0.68,0.13,0.86,0.67,0.59,0.65
d_1,0.21,0.39,27.93,0.26,0.27,0.48,0.72,0.82,1.68,0.19,0.88,0.8,1.0,0.98,0.82,1.17
c_1,0.24,0.32,0.3,29.72,0.7,0.35,0.77,0.86,0.13,0.84,0.75,0.75,0.86,0.61,1.07,0.78
b_1,0.37,0.35,0.3,0.33,31.7,0.64,0.63,0.57,0.96,0.91,0.21,0.75,0.72,0.63,0.96,0.68
a_1,0.35,0.3,0.39,0.34,0.24,46.57,1.0,0.62,0.77,0.77,1.07,0.81,0.98,0.25,0.91,0.68
h_1,0.72,0.85,0.51,0.72,0.49,0.58,9.62,1.74,1.49,1.08,1.26,1.66,0.56,1.59,1.11,2.3
g_1,0.63,0.42,1.38,0.51,0.46,0.58,1.13,11.2,1.18,1.14,1.49,3.33,1.36,0.85,1.33,0.56
c_0,0.67,0.88,0.85,0.26,0.46,0.57,1.51,1.19,5.31,1.23,2.98,2.1,1.65,1.76,1.74,1.69
d_0,0.61,0.87,0.2,1.55,0.5,0.56,1.3,1.27,0.92,4.95,1.42,1.63,1.94,1.18,1.58,1.36
b_0,0.75,0.65,0.89,0.59,0.23,0.46,1.41,1.39,1.52,1.8,6.85,1.67,1.5,3.61,1.01,1.88
f_0,0.64,0.32,0.84,0.8,0.57,0.61,1.28,1.11,1.74,1.66,1.6,7.32,1.78,1.74,3.52,1.87
h_0,0.6,1.14,0.78,0.64,0.39,0.48,0.43,1.64,1.02,1.35,1.76,1.44,0.72,2.22,1.99,2.19
a_0,0.78,0.61,0.8,0.72,0.62,,1.41,1.35,1.74,1.56,1.44,1.48,1.75,9.14,1.33,2.23
e_0,0.19,1.01,0.88,0.89,0.65,0.53,1.61,1.13,1.56,1.83,1.39,1.17,2.36,1.09,9.27,1.72
g_0,0.57,0.54,1.22,0.66,0.63,0.47,1.02,0.68,1.44,1.06,2.02,2.26,1.78,1.6,1.92,0.67
