,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.96,0.83,1.47,1.49,3.16,20.65,22.75,40.58,28.71,36.55,47.87,85.59,86.45,118.34,134.45
d_1,1.04,1.0,1.12,1.04,1.28,2.69,19.19,16.14,24.13,32.1,31.27,37.76,64.47,85.78,89.42,105.66
f_1,1.23,0.89,1.0,1.13,1.3,2.61,13.81,18.78,24.39,24.48,28.49,38.35,65.05,76.81,79.72,130.13
c_1,0.68,0.98,0.88,1.0,1.55,2.03,14.34,16.58,15.32,18.79,19.8,26.85,61.66,61.97,76.0,95.01
b_1,0.66,0.75,0.78,0.65,1.0,2.97,16.53,15.52,19.29,21.3,19.86,29.4,54.32,49.1,73.96,91.45
a_1,0.31,0.38,0.38,0.49,0.34,1.0,6.56,8.72,10.04,9.08,12.2,15.3,31.2,27.68,39.17,44.28
h_1,0.05,0.05,0.07,0.07,0.06,0.15,1.0,1.31,1.39,1.39,1.72,2.08,4.45,3.99,5.06,7.5
g_1,0.05,0.06,0.05,0.06,0.06,0.12,0.75,1.0,1.11,1.33,1.4,2.29,3.3,3.54,5.15,5.49
d_0,0.03,0.04,0.04,0.07,0.05,0.1,0.74,0.92,1.0,0.9,1.22,1.42,2.88,3.03,3.97,4.5
c_0,0.03,0.03,0.04,0.05,0.05,0.11,0.71,0.76,1.15,1.0,1.63,1.78,3.09,3.36,4.07,4.63
b_0,0.03,0.03,0.03,0.05,0.05,0.09,0.58,0.72,0.85,0.59,1.0,1.4,2.43,3.37,3.38,3.95
f_0,0.02,0.03,0.03,0.04,0.03,0.06,0.5,0.45,0.69,0.6,0.71,1.0,2.03,1.82,3.68,2.4
h_0,0.01,0.02,0.02,0.02,0.02,0.03,0.23,0.3,0.33,0.32,0.41,0.48,1.0,1.03,1.21,1.78
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.26,0.29,0.32,0.29,0.29,0.54,0.99,1.0,1.32,1.44
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.2,0.19,0.26,0.27,0.31,0.27,0.79,0.78,1.0,1.11
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.13,0.18,0.21,0.21,0.26,0.4,0.55,0.68,0.89,1.0
