,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.15,42.62,112.14,118.42,76.05,61.0,23.65,23.13,31.0,17.34,14.84,19.07,10.57,18.62,,10.53
f_1,95.59,1.15,98.12,60.37,97.03,82.96,13.86,16.14,24.36,18.83,18.8,,6.94,16.29,19.44,19.75
c_1,109.65,103.0,1.15,128.29,76.05,86.42,26.8,9.77,35.89,,23.5,19.75,13.06,18.62,19.44,18.59
d_1,103.56,119.61,104.67,1.15,93.8,90.17,25.94,,15.5,16.47,21.69,21.27,15.31,19.55,20.59,11.7
b_1,128.55,137.33,64.08,109.96,1.15,129.62,29.78,19.83,23.52,31.38,,18.43,15.31,27.93,21.88,13.17
a_1,196.21,264.86,98.12,153.95,87.94,1.15,50.25,36.53,48.71,28.65,26.86,30.72,19.3,,,24.31
h_1,100.76,103.0,89.71,81.03,134.0,109.16,2.0,17.79,48.71,21.97,11.75,26.33,,21.72,16.67,12.64
d_0,45.46,90.44,71.36,,100.5,98.76,24.36,3.11,17.95,24.41,28.2,14.18,14.32,16.29,17.5,14.36
g_1,116.5,119.61,104.67,96.22,148.11,86.42,26.8,26.69,2.0,31.38,25.64,30.72,16.44,,23.33,
c_0,90.93,90.44,,52.19,104.22,98.76,25.12,19.83,19.49,2.78,20.14,27.65,17.76,18.62,29.17,12.64
b_0,103.56,109.06,157.0,128.29,,172.83,29.78,27.76,22.0,9.98,3.15,17.28,12.33,26.07,23.33,26.33
f_0,112.97,,120.77,133.87,108.23,129.62,36.55,19.83,32.48,28.65,23.5,3.02,11.68,15.64,21.88,7.52
h_0,128.55,92.7,120.77,93.3,67.0,115.22,,15.42,24.36,17.81,18.8,18.43,,17.77,12.5,8.78
a_0,248.53,168.55,157.0,133.87,234.5,,29.78,31.55,,34.68,16.11,30.72,31.71,3.05,29.17,18.59
e_0,,176.57,157.0,219.93,255.82,,61.85,33.05,62.0,43.93,51.27,12.86,19.3,30.08,3.02,
g_0,109.65,123.6,125.6,205.27,122.35,138.27,36.55,27.76,,24.41,20.14,30.72,15.31,35.55,,
