,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.52,0.64,0.68,1.01,0.69,0.58,0.96,1.49,0.76,0.77,0.95,0.99,0.92,0.67,0.7,0.88
f_1,1.32,1.54,0.65,0.59,0.59,0.49,0.74,0.87,0.78,0.96,0.59,0.74,0.88,0.51,0.85,0.78
d_1,0.71,0.87,1.56,0.63,0.72,0.57,0.86,0.62,0.78,1.4,0.84,0.92,0.89,0.77,0.68,0.78
c_1,0.58,0.76,0.74,1.56,1.23,0.6,0.9,0.77,0.7,0.48,0.87,0.61,0.96,0.7,0.59,0.91
b_1,0.73,0.77,0.79,0.65,1.6,1.16,0.86,0.91,0.75,0.92,0.86,0.64,1.02,0.8,0.6,0.94
a_1,0.79,1.06,0.87,0.84,0.56,1.74,0.86,1.03,0.9,0.72,0.86,0.96,1.19,0.95,0.74,0.92
h_1,0.88,1.3,1.06,0.96,0.86,0.73,1.74,1.02,1.45,1.11,1.08,1.04,0.92,0.94,1.01,1.52
d_0,0.8,0.93,0.8,1.64,0.99,0.77,1.25,1.61,1.18,0.85,1.21,1.19,1.19,1.03,1.18,1.29
g_1,0.95,0.95,1.37,1.06,0.93,0.85,0.99,0.95,1.83,1.15,1.64,0.93,1.08,0.93,0.92,0.96
c_0,1.18,1.05,1.01,0.87,0.67,0.94,1.24,1.48,1.06,1.67,1.2,1.86,1.27,0.96,1.27,1.34
f_0,0.84,0.88,1.13,1.19,1.06,0.87,1.22,1.23,1.09,1.17,1.7,1.16,1.24,1.81,1.11,1.11
b_0,1.02,1.3,0.95,1.31,0.62,0.56,1.3,1.27,1.34,1.01,1.11,1.73,1.3,1.19,2.0,1.32
h_0,1.04,1.33,1.12,1.06,0.88,0.86,1.14,1.36,1.49,1.2,1.2,1.18,1.14,0.97,1.02,1.53
e_0,0.89,1.37,1.02,1.18,0.87,0.82,1.47,1.34,1.41,1.33,1.01,1.22,1.8,1.83,1.48,1.43
a_0,1.23,1.06,1.17,1.25,1.01,0.59,1.41,1.29,1.42,1.36,1.15,1.07,1.31,0.89,1.73,1.24
g_0,0.97,1.07,1.59,1.0,1.02,0.84,1.12,1.14,1.01,1.41,1.82,1.1,1.25,1.07,1.29,1.11
