,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,23.16,0.68,0.32,0.36,0.27,0.34,0.76,0.44,0.84,0.75,0.9,0.14,0.77,0.64,0.8,0.85
e_1,0.34,24.35,0.32,0.4,0.37,0.31,0.68,0.65,1.68,0.67,0.77,0.84,0.82,0.74,0.24,0.68
d_1,0.32,0.28,28.1,0.24,0.39,0.26,0.73,1.06,0.13,1.63,0.73,1.04,0.95,0.98,0.91,1.03
c_1,0.33,0.28,0.33,28.57,0.71,0.28,0.86,0.65,0.78,0.14,0.73,0.77,0.89,0.81,0.9,0.83
b_1,0.35,0.34,0.31,0.37,31.88,0.78,0.62,0.83,0.67,0.65,0.18,0.81,0.58,0.69,0.74,0.81
a_1,0.39,0.27,0.33,0.45,0.23,46.89,0.7,0.69,0.98,0.92,0.9,0.82,1.13,0.23,0.7,0.61
h_1,0.98,0.6,0.69,0.48,0.53,0.77,9.88,1.51,1.34,1.26,1.32,1.38,0.65,1.32,1.26,2.18
g_1,0.53,0.44,1.12,0.55,0.63,0.73,1.37,12.66,1.08,1.19,1.52,2.33,2.04,1.44,1.13,0.48
d_0,0.72,0.6,0.22,1.5,0.56,0.74,1.03,1.22,4.87,1.11,1.58,1.65,2.26,1.54,1.58,1.75
c_0,0.9,0.67,0.83,0.21,0.44,0.57,1.21,1.14,1.29,6.19,3.67,1.75,1.5,1.85,1.51,2.15
b_0,0.76,0.51,0.78,0.73,0.2,0.67,1.58,1.46,1.28,2.02,6.58,1.47,1.78,4.15,1.94,1.7
f_0,0.26,0.62,0.74,0.64,0.75,0.85,1.63,1.35,1.44,1.81,1.73,7.73,2.35,1.19,3.0,2.12
h_0,1.04,0.55,0.67,0.77,0.55,0.43,0.42,1.82,1.31,1.31,1.59,1.21,0.71,1.62,2.42,2.39
a_0,0.56,0.67,0.76,0.94,0.69,,1.81,1.1,1.23,1.42,1.54,1.75,1.82,8.03,1.91,1.61
e_0,0.94,0.2,0.68,0.7,0.54,0.73,1.67,1.92,1.76,1.89,1.73,1.97,2.19,1.53,10.25,1.58
g_0,0.32,0.58,1.47,0.58,0.73,0.69,1.07,0.5,1.06,1.46,1.47,2.35,1.15,1.07,1.52,0.65
