,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.68,3.6,4.95,5.16,6.04,5.26,2.16,3.35,2.35,1.98,1.84,1.95,2.15,1.69,,1.73
f_1,8.86,0.67,6.29,6.39,6.08,4.88,1.94,2.45,1.85,1.91,,2.35,1.66,1.16,1.53,1.42
c_1,7.56,5.35,0.65,6.98,5.98,4.76,2.99,2.62,1.37,,2.37,1.87,2.47,1.63,1.83,1.41
d_1,6.77,5.6,5.98,0.65,5.84,6.63,2.95,1.77,,2.02,2.88,1.88,2.14,1.5,2.19,1.16
b_1,5.34,5.35,4.84,6.36,0.64,6.14,2.94,2.93,1.98,2.41,2.5,,,1.97,1.57,2.12
a_1,8.88,6.86,7.32,7.64,5.03,0.56,3.48,,2.94,3.39,2.05,2.66,,2.21,,
h_1,5.12,5.84,4.68,4.65,4.22,3.81,0.62,2.48,2.08,2.08,1.31,1.47,1.81,,1.65,1.24
g_1,4.75,5.71,5.26,4.96,5.78,,1.79,0.59,2.51,2.01,2.15,1.54,2.31,1.33,1.77,
d_0,2.68,5.51,5.63,,4.55,4.5,1.82,2.3,0.7,1.87,1.41,2.38,2.0,1.29,1.77,1.48
c_0,5.75,6.09,,4.25,4.58,3.93,1.89,1.84,1.79,0.68,1.91,2.41,1.33,1.42,1.55,2.14
f_0,5.23,,4.51,3.73,4.57,6.62,3.06,1.67,2.42,1.66,0.67,1.83,1.76,2.18,2.07,1.02
b_0,6.1,4.5,5.41,4.8,,5.4,2.61,2.36,2.22,1.05,1.93,0.66,2.78,1.54,2.15,1.29
a_0,6.16,7.76,4.83,4.8,,,2.93,2.45,2.45,2.27,1.71,1.41,0.62,1.3,,1.8
h_0,4.33,4.7,4.23,5.18,4.85,4.23,,2.15,1.63,1.55,1.45,2.05,1.44,,1.5,1.48
e_0,,8.19,7.62,5.33,6.95,,2.48,2.26,2.24,2.3,1.54,1.83,,2.32,0.59,1.84
g_0,5.7,5.77,5.46,6.17,4.09,,2.13,,1.56,1.6,2.13,1.72,1.52,1.27,1.94,
