,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,33.19,0.07,0.05,0.07,0.07,0.08,0.23,0.75,0.29,0.31,0.42,0.37,0.63,,0.35,0.57
f_1,0.11,36.21,0.05,0.07,0.09,0.08,0.31,0.36,0.2,0.4,0.44,,0.66,0.37,0.37,0.46
d_1,0.06,0.05,41.21,0.06,0.08,0.06,0.3,,0.26,0.84,0.42,0.49,0.58,0.48,0.37,0.41
c_1,0.05,0.05,0.08,43.26,0.11,0.11,0.37,0.29,0.29,,0.33,0.39,0.59,0.35,0.52,0.68
b_1,0.08,0.06,0.06,0.07,47.39,0.13,0.33,0.47,0.28,0.2,,0.51,0.88,0.38,,0.49
a_1,0.06,0.06,0.08,0.06,0.05,76.71,0.25,0.44,,0.58,0.3,0.34,0.55,0.43,,0.76
h_1,0.22,0.37,0.28,0.32,0.35,0.27,29.3,1.56,1.42,1.3,1.56,0.94,,1.48,1.0,2.68
d_0,0.36,0.39,,0.84,0.37,0.28,1.33,17.11,1.59,1.62,1.8,2.44,2.68,1.3,2.79,2.24
g_1,0.2,0.18,0.44,0.23,0.28,0.24,0.94,1.47,36.15,1.3,1.29,2.3,2.2,1.72,2.16,
c_0,0.33,0.39,0.46,,0.31,0.3,1.81,1.5,1.36,19.4,3.72,1.64,3.52,1.97,,3.37
b_0,0.49,0.39,0.34,0.26,,0.24,1.63,1.81,1.51,1.9,21.79,1.54,2.71,2.16,5.14,2.52
f_0,0.42,,0.32,0.2,0.33,0.5,2.14,1.72,2.24,2.2,1.99,22.47,2.91,3.45,,3.86
h_0,0.58,0.87,0.64,0.41,0.33,0.44,,4.33,3.23,3.51,2.39,2.68,,2.89,2.5,5.73
e_0,,0.46,0.32,0.36,0.3,,1.87,1.94,1.28,2.0,1.91,2.76,3.27,33.93,,3.78
a_0,0.36,0.43,0.41,0.34,,,1.68,1.49,1.47,1.38,2.73,2.16,2.88,,33.9,3.74
g_0,0.42,0.57,0.95,0.71,0.72,,1.76,2.54,,3.35,2.09,4.15,5.18,3.06,,
