,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,95.95,57.27,95.68,92.92,126.55,328.54,8000.78,13380.12,17470.78,23049.01,28666.52,28483.97,61549.19,75391.64,83710.62,132646.87
d_1,49.97,112.96,59.98,82.9,116.22,320.44,9009.58,12701.14,28033.65,15310.22,38840.78,39572.56,64418.21,84045.14,107316.33,123213.97
e_1,44.65,47.73,118.6,101.61,125.52,322.81,8841.6,14308.34,17920.9,36084.52,34135.16,44844.09,69881.69,80712.84,83933.81,181942.5
c_1,39.07,46.55,43.48,164.18,182.82,296.2,6513.07,10724.17,9397.56,16700.58,22010.49,38441.6,55681.36,65334.88,84797.04,143369.48
b_1,35.86,47.7,42.77,58.26,220.13,437.32,7530.53,9100.29,13870.91,19210.77,12741.81,33935.26,48117.59,61231.11,76207.48,118190.8
a_1,27.03,35.23,31.9,51.13,55.16,501.54,4883.98,9037.27,9433.52,11171.99,19721.69,26794.14,44501.07,32213.56,59144.07,77225.3
h_1,15.3,15.08,13.33,25.69,28.3,74.34,3582.96,4427.27,3827.87,4939.56,6469.47,10332.71,14531.74,17399.15,25334.11,45257.48
g_1,9.19,17.24,11.79,21.49,26.06,62.28,1867.33,5109.48,3639.45,4090.52,5995.52,12460.68,12949.64,20144.32,22878.36,26883.67
c_0,11.09,10.87,12.16,16.92,21.42,78.17,2093.51,3016.79,5238.77,4679.42,11024.84,8592.76,15201.79,19473.24,22509.19,32991.76
d_0,9.5,8.05,9.64,29.57,24.78,64.69,1770.3,2713.4,2336.44,6119.7,5430.34,8933.52,12700.48,14514.37,20157.74,28261.55
b_0,8.76,8.97,10.57,17.43,21.68,49.61,1753.14,2765.92,2656.53,4186.47,7874.6,6878.31,11447.82,24853.12,18516.31,27054.2
f_0,6.43,10.44,8.25,15.44,19.03,50.86,1612.53,2020.46,2955.35,3018.06,5526.99,10164.73,12825.54,13667.34,28638.07,22039.11
h_0,8.75,8.77,8.39,13.01,18.81,43.88,1007.66,2501.7,2223.21,3000.31,4674.8,5659.36,7985.04,10413.7,15408.38,27296.96
a_0,6.7,7.2,7.7,11.4,16.55,31.35,1397.1,1605.39,2398.69,2958.89,3556.35,6003.55,10320.32,16559.86,15151.33,20921.91
e_0,6.55,7.15,4.9,12.17,16.22,38.28,1172.72,1643.25,2143.37,2378.19,3932.0,4546.47,7428.02,8154.11,20762.09,16966.19
g_0,4.94,9.66,4.51,8.74,13.77,38.61,997.25,1249.68,2079.48,2033.03,3483.63,6564.18,6857.2,9474.5,12421.84,13445.36
