,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.39,0.71,0.58,0.95,0.77,0.74,1.65,1.62,2.48,1.46,1.72,1.93,2.37,0.96,1.99,2.25
d_1,0.78,2.44,0.83,0.64,0.8,0.75,1.58,1.42,0.71,2.6,1.95,1.57,2.1,1.83,1.86,1.55
f_1,1.34,0.73,2.47,0.76,0.64,0.61,1.33,1.39,1.8,1.61,1.67,0.56,1.4,1.24,1.54,2.19
c_1,0.63,0.82,0.76,2.61,1.36,0.71,1.42,1.55,1.53,0.54,1.38,1.62,2.27,1.4,1.69,1.79
b_1,0.69,0.75,0.85,0.57,2.77,1.28,1.63,1.52,1.79,1.95,0.96,1.77,2.21,1.69,1.1,2.21
a_1,0.74,0.77,0.95,0.91,0.59,3.22,1.64,1.43,1.26,1.68,1.89,1.66,2.11,2.02,0.7,2.24
h_1,0.84,0.98,1.45,0.86,0.94,0.88,3.96,2.42,2.05,2.35,2.01,2.13,2.03,2.71,2.53,3.97
g_1,0.87,1.48,0.86,1.04,0.9,1.04,1.68,4.01,2.09,1.9,2.28,3.22,2.14,2.45,2.13,1.73
d_0,1.01,0.7,0.91,1.67,0.95,1.3,2.11,1.71,3.63,1.86,1.63,2.1,2.68,2.36,2.06,3.1
c_0,1.18,1.08,1.15,0.73,0.8,0.93,1.85,1.98,2.08,3.83,3.54,2.64,3.15,2.44,2.26,2.79
b_0,0.88,1.04,1.19,1.13,0.43,1.01,2.19,1.84,2.68,2.07,4.09,2.58,2.78,2.13,4.23,2.87
f_0,0.92,1.21,0.67,1.14,1.1,0.91,2.14,1.47,2.55,1.8,2.24,4.08,3.61,4.15,2.27,3.11
h_0,0.75,1.06,1.6,0.95,0.96,1.07,0.78,2.6,2.09,2.27,2.59,2.14,1.65,2.26,1.96,2.9
e_0,0.49,1.1,1.27,1.17,1.05,1.02,1.72,2.58,2.66,2.21,2.95,2.07,3.46,4.83,2.5,2.89
a_0,0.94,1.02,1.24,1.08,1.23,,1.81,1.97,2.84,2.03,2.2,2.86,3.46,2.21,4.92,2.59
g_0,0.75,1.6,0.89,1.14,0.84,0.96,1.75,1.27,2.17,2.03,2.3,2.94,3.34,2.71,2.4,1.71
