,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,5.85,0.09,0.07,0.07,0.07,0.1,0.33,,0.24,0.75,0.43,0.28,0.56,0.46,0.28,0.49
e_1,0.07,5.96,0.06,0.09,0.07,0.08,0.29,0.7,0.29,0.37,0.34,0.39,0.53,0.36,,0.45
f_1,0.08,0.14,6.09,0.08,0.05,0.09,0.35,0.36,0.34,0.4,,0.4,0.45,0.32,0.27,0.5
c_1,0.07,0.09,0.08,6.37,0.13,0.07,0.24,0.37,0.28,,0.4,0.29,0.85,0.28,,0.73
b_1,0.07,0.06,0.08,0.09,7.67,0.14,0.36,0.36,0.27,0.33,0.34,,0.54,0.29,0.46,0.65
a_1,0.08,0.07,0.05,0.06,0.09,10.14,0.28,0.5,0.29,0.4,0.46,0.36,0.56,,0.4,0.55
h_1,0.33,0.21,0.47,0.3,0.29,0.21,15.08,1.19,1.61,1.44,1.12,1.13,,1.67,1.64,2.52
d_0,,0.48,0.36,0.78,0.56,0.53,1.1,11.32,1.07,1.68,1.68,1.57,2.78,1.77,2.1,2.57
g_1,0.37,0.22,0.21,0.25,0.27,0.25,0.74,1.34,18.35,1.7,2.53,1.9,2.24,1.11,1.53,
c_0,0.35,0.35,0.43,,0.26,0.27,1.86,1.95,1.07,12.59,1.7,3.7,3.01,1.4,1.73,3.96
f_0,0.36,0.26,,0.51,0.53,0.31,1.55,1.8,1.95,1.37,13.68,2.05,2.79,1.93,3.64,3.11
b_0,0.34,0.34,0.36,0.34,,0.27,1.56,2.2,1.64,1.46,1.82,14.52,3.5,4.22,1.67,2.35
h_0,0.82,0.5,0.89,0.52,0.52,0.42,,3.18,2.32,2.09,2.69,3.21,,2.46,2.82,4.96
a_0,0.29,0.54,0.39,0.28,0.25,,1.9,1.95,,2.05,2.46,1.3,2.6,19.8,3.61,2.53
e_0,0.47,,0.46,0.29,0.37,,1.33,2.65,1.62,1.92,1.77,1.56,3.95,,20.4,2.93
g_0,0.88,0.41,0.5,0.4,0.46,0.55,2.2,2.2,,3.48,4.44,3.03,4.82,3.0,2.6,
