,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.61,0.98,0.94,1.06,0.93,0.96,1.02,1.5,1.14,1.0,1.07,0.9,0.9,1.37,
f_1,1.63,1.0,1.01,1.02,0.86,1.16,0.77,0.85,1.05,0.95,1.06,,0.85,1.02,0.84,1.03
d_1,1.02,0.99,1.0,0.98,0.93,1.08,1.07,0.82,,1.35,0.9,0.95,1.04,1.06,0.83,0.96
c_1,1.06,0.98,1.02,1.0,1.6,0.9,1.11,1.08,0.76,,0.89,0.94,1.16,0.96,0.87,0.91
b_1,0.95,1.17,1.08,0.62,1.0,1.35,1.11,1.22,0.77,1.08,,1.39,0.86,0.89,0.97,1.0
a_1,1.08,0.86,0.93,1.11,0.74,1.0,1.26,0.89,0.98,1.09,1.04,1.18,1.27,,,
h_1,1.04,1.29,0.93,0.9,0.9,0.79,1.0,1.11,1.1,0.92,0.86,0.98,,1.1,0.98,0.98
g_1,0.98,1.18,1.22,0.93,0.82,1.13,0.9,1.0,0.93,0.81,1.04,1.2,0.99,0.94,,0.96
d_0,0.67,0.95,,1.32,1.3,1.02,0.91,1.08,1.0,0.94,1.1,0.81,1.21,1.04,1.18,0.89
c_0,0.88,1.05,0.74,,0.93,0.92,1.09,1.24,1.07,1.0,1.44,0.67,1.11,0.77,1.28,1.06
b_0,1.0,0.94,1.11,1.12,,0.96,1.17,0.96,0.91,0.69,1.0,1.1,1.05,1.59,0.82,0.91
f_0,0.93,,1.05,1.07,0.72,0.85,1.02,0.83,1.23,1.48,0.91,1.0,1.11,0.88,0.76,1.32
h_0,1.11,1.18,0.96,0.86,1.16,0.79,,1.02,0.83,0.9,0.95,0.9,,0.97,1.28,0.97
a_0,1.11,0.98,0.94,1.05,1.13,,0.91,1.07,0.96,1.3,0.63,1.13,1.03,1.0,1.22,
g_0,0.73,1.2,1.21,1.15,1.03,,1.02,,0.85,0.78,1.22,1.32,0.78,0.82,,1.06
e_0,,0.97,1.04,1.1,1.0,,1.02,1.04,1.12,0.95,1.1,0.76,1.03,,0.94,1.0
