,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,3.66,0.43,0.73,0.43,0.35,0.33,0.69,0.63,0.79,0.79,0.64,0.17,0.81,0.66,0.64,0.7
d_1,0.39,3.95,0.35,0.35,0.36,0.39,0.73,0.76,1.57,0.17,1.09,0.79,0.91,0.82,0.93,0.83
e_1,0.48,0.3,3.98,0.4,0.37,0.32,0.71,0.74,0.78,1.61,1.01,0.73,0.88,0.8,0.26,0.96
c_1,0.38,0.33,0.34,4.51,0.81,0.4,0.66,0.69,0.16,0.84,0.73,0.92,0.82,0.68,0.9,1.09
b_1,0.35,0.39,0.38,0.34,5.06,0.82,0.81,0.55,0.73,0.98,0.1,0.99,0.92,0.95,0.78,0.9
a_1,0.36,0.48,0.39,0.41,0.32,7.04,0.72,0.87,0.85,0.71,0.84,0.9,1.12,0.21,0.74,0.66
h_1,0.96,0.77,0.61,0.82,0.5,0.43,5.3,1.73,1.23,1.15,1.18,1.46,0.58,1.21,1.55,1.91
g_1,0.59,1.16,0.61,0.64,0.65,0.55,1.33,6.18,1.02,0.88,1.33,1.93,1.23,1.52,1.18,0.6
c_0,0.89,0.84,0.65,0.27,0.56,0.75,1.28,1.4,3.96,1.08,2.53,1.48,1.79,1.75,1.5,1.61
d_0,0.75,0.19,0.7,1.53,0.67,0.67,1.3,1.11,0.91,3.96,1.25,1.75,1.44,1.38,1.59,1.16
b_0,0.88,0.67,0.78,0.7,0.3,0.7,1.47,1.44,1.39,1.4,4.34,1.57,1.6,2.97,1.41,1.53
f_0,0.34,0.93,0.54,0.89,0.54,0.62,1.71,1.62,1.58,1.27,1.76,4.86,1.98,1.76,3.55,1.62
h_0,1.07,0.64,0.55,0.65,0.84,0.59,0.53,1.61,1.07,1.29,1.49,1.34,0.86,1.39,1.55,2.08
a_0,0.9,0.61,0.8,0.68,0.68,,1.5,1.21,1.26,1.39,1.37,1.68,1.7,6.04,1.76,1.83
e_0,0.66,0.87,0.22,0.98,0.78,0.62,1.76,1.46,1.39,1.45,1.64,1.78,1.34,1.24,6.51,1.51
g_0,0.71,1.34,0.38,0.64,0.7,0.5,1.62,0.62,1.53,0.97,1.42,2.29,1.54,1.41,1.34,0.73
