,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,5.73,2.26,1.21,1.23,1.05,1.2,4.71,4.25,5.14,5.56,2.31,6.87,8.01,6.54,4.99,8.09
e_1,1.38,5.83,1.14,1.39,1.56,1.01,3.97,4.98,11.55,6.73,7.07,6.77,10.0,6.44,3.25,10.15
d_1,1.45,1.2,6.03,1.12,1.09,1.23,4.65,5.01,2.54,12.31,7.19,6.81,10.6,6.93,7.86,10.25
c_1,1.23,1.18,1.28,6.88,2.46,0.95,4.22,4.48,5.41,1.19,6.87,4.3,7.91,6.1,6.72,8.5
b_1,1.27,1.29,1.25,1.32,7.84,2.65,5.54,4.29,7.37,4.29,5.25,2.18,9.06,3.72,5.95,7.94
a_1,1.58,1.14,1.43,1.18,1.29,11.29,5.38,4.59,4.21,6.17,6.01,5.87,10.62,2.04,6.38,8.98
h_1,2.17,1.28,1.69,1.61,1.4,1.85,16.34,7.41,7.14,5.42,6.33,7.04,5.52,7.17,7.87,14.75
g_1,1.6,1.38,2.27,1.6,1.36,1.7,5.75,17.91,6.12,6.66,10.47,7.29,9.25,8.7,8.22,5.74
d_0,1.46,1.6,0.73,3.16,1.62,1.76,5.8,6.46,15.71,4.76,8.89,6.48,10.97,9.01,6.24,11.17
c_0,1.82,1.49,1.91,1.04,1.28,1.27,6.31,5.28,6.85,16.35,7.59,16.58,12.89,11.01,9.24,13.1
f_0,0.91,1.25,2.03,2.03,1.71,1.51,6.28,5.47,7.29,8.9,18.24,6.35,12.29,6.88,17.7,15.58
b_0,1.73,1.24,1.9,2.0,0.75,1.22,5.86,6.02,8.48,7.93,8.18,19.73,13.84,17.57,8.32,14.02
h_0,2.46,1.66,1.69,1.54,1.27,1.38,3.66,9.01,6.78,7.12,6.78,8.41,6.65,8.07,6.63,17.1
a_0,1.69,1.29,2.32,1.68,1.7,0.56,5.62,5.69,7.08,7.04,7.75,6.96,13.1,23.86,10.02,15.55
e_0,1.76,0.82,1.55,1.66,1.77,2.0,7.94,4.91,9.77,7.94,8.52,8.78,14.19,8.75,24.32,10.08
g_0,1.25,1.37,2.43,1.67,1.67,1.61,5.57,4.53,5.83,9.17,12.41,8.59,10.46,8.29,10.29,7.4
