,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.03,1.33,0.65,0.68,0.54,0.72,0.81,0.82,0.87,0.99,0.95,0.51,0.95,0.85,1.05,0.71
e_1,0.85,2.1,0.62,0.98,0.68,0.66,0.95,0.91,0.96,1.66,0.96,1.08,0.99,1.07,0.94,0.71
d_1,0.82,0.67,2.21,0.62,0.81,0.61,1.03,1.7,0.94,0.52,1.16,1.03,1.01,0.99,0.96,1.2
c_1,0.69,0.63,0.8,2.23,1.42,0.7,0.9,0.59,0.74,0.87,0.7,0.95,0.97,0.79,0.97,0.92
b_1,0.74,0.67,0.79,0.8,2.53,1.47,0.99,0.83,0.86,0.82,0.67,1.01,1.02,0.82,0.87,0.91
a_1,0.7,0.71,0.92,0.78,0.75,3.72,0.95,1.0,1.14,0.86,1.02,1.02,1.14,0.85,1.04,0.98
h_1,1.11,0.74,0.96,0.74,0.7,0.76,2.03,0.98,1.39,1.04,1.09,0.97,0.77,0.92,1.45,1.08
c_0,0.99,0.76,0.89,0.66,0.52,0.8,1.19,1.66,1.3,1.15,2.09,1.27,1.21,1.48,1.11,1.29
g_1,0.75,0.72,1.24,0.83,0.81,0.71,1.04,1.07,2.54,0.88,1.01,1.56,0.89,1.15,0.7,1.08
d_0,0.85,0.71,0.58,1.5,0.84,0.62,1.04,0.71,1.12,1.67,1.12,1.11,1.0,1.23,1.16,1.12
b_0,0.98,0.87,0.93,0.85,0.52,0.65,1.03,0.99,1.09,1.08,2.06,1.18,1.18,2.27,1.18,1.03
f_0,0.71,0.61,1.05,0.9,0.83,0.81,1.33,1.09,1.14,1.01,1.1,2.08,0.97,1.21,1.08,2.61
h_0,1.14,0.87,0.88,0.86,0.69,0.74,0.78,0.96,1.52,0.97,1.08,1.04,0.8,1.07,1.29,0.93
a_0,0.84,0.87,1.01,0.97,0.79,0.5,1.15,1.01,0.95,1.05,1.04,1.13,1.02,2.24,0.92,1.21
g_0,0.76,0.74,1.26,0.88,0.71,0.64,0.99,1.06,0.9,0.97,1.14,1.7,1.02,1.01,0.81,1.36
e_0,0.9,0.62,0.98,0.94,0.87,0.67,1.01,1.18,0.85,0.96,0.95,1.03,1.19,1.03,1.12,2.57
