,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.87,0.16,0.09,0.09,0.07,0.04,0.06,0.06,0.07,0.06,0.07,0.02,0.04,0.07,0.06,0.03
e_1,0.1,0.88,0.07,0.07,0.07,0.04,0.08,0.06,0.16,0.09,0.08,0.07,0.06,0.07,0.06,0.01
d_1,0.09,0.08,0.88,0.07,0.06,0.06,0.08,0.06,0.02,0.15,0.08,0.06,0.05,0.1,0.05,0.05
c_1,0.09,0.1,0.08,0.87,0.13,0.04,0.06,0.06,0.07,0.01,0.06,0.06,0.06,0.08,0.05,0.03
b_1,0.07,0.08,0.09,0.08,0.87,0.11,0.08,0.06,0.08,0.06,0.02,0.08,0.04,0.07,0.05,0.04
a_1,0.1,0.1,0.1,0.07,0.06,0.87,0.1,0.07,0.07,0.08,0.06,0.05,0.01,0.07,0.05,0.04
h_1,0.23,0.13,0.14,0.14,0.09,0.08,0.53,0.13,0.16,0.15,0.1,0.11,0.07,0.05,0.14,0.08
g_1,0.12,0.14,0.28,0.15,0.09,0.07,0.12,0.52,0.08,0.11,0.1,0.13,0.06,0.1,0.05,0.06
d_0,0.16,0.14,0.06,0.3,0.12,0.09,0.15,0.11,0.36,0.12,0.12,0.11,0.1,0.13,0.1,0.08
c_0,0.2,0.15,0.17,0.07,0.1,0.09,0.13,0.14,0.13,0.39,0.27,0.13,0.12,0.14,0.1,0.08
b_0,0.2,0.15,0.15,0.17,0.05,0.08,0.15,0.1,0.15,0.11,0.36,0.09,0.2,0.17,0.12,0.09
f_0,0.08,0.12,0.18,0.17,0.12,0.1,0.17,0.11,0.17,0.15,0.12,0.35,0.09,0.13,0.13,0.18
a_0,0.22,0.17,0.17,0.17,0.11,,0.13,0.13,0.15,0.13,0.14,0.11,0.37,0.14,0.11,0.06
h_0,0.27,0.14,0.14,0.16,0.1,0.07,0.04,0.15,0.11,0.13,0.11,0.12,0.1,0.07,0.14,0.07
g_0,0.12,0.15,0.24,0.14,0.11,0.09,0.13,0.04,0.16,0.13,0.1,0.17,0.1,0.11,0.04,0.09
e_0,0.21,0.07,0.15,0.19,0.12,0.08,0.12,0.08,0.17,0.17,0.14,0.08,0.1,0.13,0.12,0.36
