,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,5.58,1.46,1.22,1.55,1.22,1.09,4.7,4.49,11.32,6.27,6.42,6.75,8.28,6.16,10.85,3.54
f_1,2.33,5.76,1.17,1.14,1.11,1.26,4.18,3.96,5.23,5.49,7.1,1.79,8.42,5.75,7.85,5.79
d_1,1.27,1.48,6.58,1.1,1.06,1.45,4.95,4.86,2.43,11.38,6.71,6.31,10.85,6.7,8.97,6.24
c_1,1.18,1.11,1.22,6.6,2.64,1.01,4.85,4.5,6.77,2.4,4.0,6.96,9.3,5.92,7.85,7.23
b_1,1.15,1.47,1.39,1.11,7.79,2.47,4.16,4.76,4.48,5.94,2.18,5.96,9.1,5.34,6.32,6.87
a_1,1.13,1.22,1.52,1.37,1.26,11.35,4.9,4.54,5.47,6.03,5.9,7.48,10.06,1.81,8.72,6.64
h_1,1.28,2.35,1.57,1.63,1.49,1.13,15.83,7.91,7.64,6.78,8.86,6.37,6.59,8.96,13.59,7.36
g_1,1.3,1.37,2.52,1.57,1.37,1.53,6.15,19.0,5.8,4.7,7.83,11.57,11.21,8.18,8.0,8.45
d_0,1.27,1.62,0.73,3.35,1.74,1.32,5.76,4.58,14.7,6.11,7.26,6.7,13.03,8.55,11.7,8.32
c_0,1.66,1.86,1.65,1.04,1.18,1.52,5.76,5.81,8.38,16.41,16.56,6.32,13.24,7.99,12.69,10.21
b_0,1.67,1.69,1.94,1.95,0.6,0.86,6.88,6.49,7.14,6.67,18.64,8.2,11.13,17.01,13.29,8.86
f_0,1.35,0.72,1.66,2.06,1.53,1.74,6.17,7.29,7.89,7.88,8.9,19.38,13.91,9.04,14.06,18.57
h_0,1.64,2.4,1.87,1.66,1.49,1.5,3.03,7.53,5.98,6.4,8.27,7.52,5.8,7.48,19.07,7.38
a_0,1.52,1.62,1.9,1.98,1.26,0.58,5.52,5.6,9.01,8.19,9.18,7.21,13.17,25.76,11.72,7.99
g_0,1.32,1.75,2.65,1.43,1.3,1.51,5.18,3.95,5.18,7.07,10.32,11.33,11.41,8.89,9.9,9.78
e_0,0.78,1.66,1.87,1.65,1.57,1.68,7.18,5.99,9.19,8.43,9.27,8.94,13.5,9.19,14.1,28.12
