,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,35.02,0.04,0.05,0.06,0.08,0.06,0.3,0.3,0.87,0.34,0.41,0.32,0.34,0.66,,0.48
f_1,0.11,36.92,0.08,0.07,0.08,0.09,0.26,0.27,0.33,0.32,,0.46,0.27,0.71,0.28,0.52
c_1,0.07,0.06,40.77,0.06,0.1,0.08,0.29,0.29,0.37,,0.46,0.39,0.45,0.7,0.29,0.57
d_1,0.07,0.06,0.05,42.67,0.06,0.06,0.3,0.39,,0.53,0.55,0.47,0.49,0.54,0.45,0.53
b_1,0.06,0.06,0.07,0.07,44.99,0.12,0.34,0.24,0.42,0.43,0.43,,,0.52,0.36,0.72
a_1,0.06,0.08,0.08,0.05,0.07,79.47,0.37,,0.35,0.46,0.27,0.33,,0.6,0.67,
h_1,0.31,0.36,0.22,0.23,0.24,0.27,26.46,1.57,1.68,1.81,1.11,1.35,1.13,,1.66,2.57
g_1,0.16,0.25,0.25,0.49,0.21,0.23,1.01,32.8,1.06,1.92,2.2,1.54,1.31,2.19,1.86,
d_0,0.39,0.4,0.68,,0.44,0.32,1.31,0.96,17.7,2.08,1.53,1.35,1.41,3.45,1.89,3.83
c_0,0.34,0.36,,0.43,0.32,0.28,1.28,1.53,1.75,20.48,2.37,4.37,1.96,3.53,1.93,3.03
f_0,0.4,,0.32,0.26,0.3,0.46,2.08,1.45,2.32,2.01,21.83,1.93,2.62,3.16,3.12,2.84
b_0,0.34,0.3,0.42,0.45,,0.34,1.88,2.04,1.07,1.77,2.02,23.41,2.79,2.19,2.32,3.53
a_0,0.29,0.39,0.28,0.37,0.37,,1.27,1.06,1.33,3.02,2.28,1.25,30.2,4.18,,3.6
h_0,0.51,0.94,0.59,0.62,0.43,0.52,,2.71,3.36,3.33,1.79,2.59,4.53,,1.95,5.31
e_0,,0.43,0.36,0.34,0.51,,1.6,1.67,1.69,2.35,1.87,1.62,1.84,2.87,35.1,2.42
g_0,0.42,0.59,0.66,0.87,0.42,0.48,2.78,,2.74,1.71,4.9,3.77,2.63,4.06,2.44,
