,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.81,0.79,0.86,0.87,0.71,0.33,0.36,0.33,0.5,0.33,0.43,0.23,0.33,0.33,0.31
e_1,0.56,0.41,0.76,0.91,0.8,0.81,0.57,0.5,0.36,0.46,0.45,0.54,0.36,0.38,0.57,0.43
d_1,0.84,0.94,0.38,0.75,0.93,0.64,0.4,0.53,0.44,0.29,0.31,0.33,0.3,0.38,0.32,0.21
c_1,0.79,0.74,0.94,0.38,0.89,0.77,0.4,0.23,0.39,0.4,0.3,0.33,0.32,0.34,0.35,0.32
b_1,0.83,0.82,0.78,0.51,0.37,1.17,0.53,0.39,0.48,0.49,0.7,0.38,0.34,0.35,0.37,0.39
a_1,1.07,0.78,0.96,0.79,0.45,0.3,0.46,0.37,0.38,0.59,0.42,0.39,0.28,0.6,0.36,0.27
h_1,0.84,0.63,0.76,0.75,0.62,0.64,0.24,0.3,0.32,0.44,0.32,0.28,0.4,0.29,0.29,0.3
d_0,0.74,0.42,0.87,0.96,0.75,0.73,0.43,0.25,0.39,0.41,0.28,0.39,0.3,0.32,0.37,0.35
c_0,0.77,0.81,0.42,1.27,0.7,0.72,0.4,0.39,0.24,0.45,0.4,0.28,0.32,0.35,0.32,0.27
g_1,0.7,0.74,0.8,0.85,0.76,0.54,0.29,0.32,0.32,0.22,0.36,0.37,0.22,0.29,0.31,0.34
b_0,0.79,0.61,0.69,0.93,0.86,0.76,0.37,0.35,0.21,0.35,0.23,0.31,0.27,0.38,0.27,0.22
f_0,1.15,0.61,0.64,0.79,0.65,0.66,0.43,0.33,0.36,0.26,0.39,0.21,0.3,0.34,0.44,0.21
h_0,0.77,0.65,0.68,0.77,0.7,0.77,0.51,0.3,0.31,0.4,0.32,0.32,0.35,0.29,0.31,0.3
a_0,0.84,0.71,0.6,0.71,1.03,0.84,0.37,0.32,0.27,0.46,0.2,0.3,0.37,0.2,0.28,0.3
e_0,0.93,0.77,0.7,0.7,0.8,0.63,0.39,0.31,0.31,0.36,0.35,0.17,0.3,0.33,0.19,0.26
g_0,0.82,0.68,0.73,0.69,0.62,0.76,0.32,0.34,0.31,0.46,0.38,0.31,0.22,0.34,0.29,0.32
