,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,0.78,0.65,0.68,0.66,0.53,0.27,0.4,0.28,0.29,0.28,0.3,0.2,0.29,0.23,0.31
e_1,0.45,0.41,0.7,0.83,0.68,0.69,0.39,0.42,0.3,0.37,0.35,0.41,0.28,0.31,0.37,0.28
d_1,0.74,0.7,0.39,0.62,0.71,0.59,0.35,0.27,0.33,0.42,0.29,0.31,0.25,0.32,0.31,0.19
c_1,0.63,0.52,0.86,0.38,0.82,0.57,0.41,0.37,0.37,0.19,0.27,0.33,0.24,0.29,0.28,0.25
b_1,0.76,0.7,0.69,0.41,0.36,0.93,0.4,0.35,0.36,0.3,0.37,0.31,0.27,0.27,0.36,0.26
a_1,0.84,0.68,0.74,0.73,0.36,0.3,0.37,0.39,0.34,0.33,0.41,0.3,0.35,0.4,0.32,0.24
h_1,0.69,0.67,0.58,0.64,0.61,0.54,0.24,0.34,0.28,0.31,0.28,0.27,0.28,0.25,0.24,0.27
g_1,0.66,0.59,0.63,0.62,0.65,0.62,0.31,0.21,0.3,0.27,0.31,0.3,0.2,0.28,0.26,0.25
c_0,0.74,0.7,0.43,0.83,0.6,0.58,0.34,0.32,0.23,0.42,0.31,0.27,0.25,0.29,0.27,0.22
d_0,0.63,0.42,0.77,0.76,0.66,0.58,0.36,0.47,0.26,0.24,0.31,0.3,0.26,0.28,0.29,0.28
b_0,0.69,0.56,0.58,0.88,0.72,0.53,0.35,0.31,0.19,0.26,0.22,0.25,0.25,0.3,0.28,0.23
f_0,0.89,0.57,0.61,0.65,0.65,0.55,0.38,0.23,0.3,0.3,0.3,0.2,0.23,0.29,0.3,0.17
h_0,0.7,0.55,0.61,0.69,0.65,0.49,0.37,0.32,0.29,0.25,0.25,0.26,0.28,0.24,0.26,0.25
a_0,0.67,0.59,0.59,0.67,0.73,0.84,0.37,0.33,0.25,0.28,0.18,0.27,0.24,0.2,0.28,0.26
e_0,0.82,0.66,0.6,0.66,0.58,0.52,0.38,0.33,0.28,0.27,0.25,0.17,0.21,0.25,0.18,0.22
g_0,0.63,0.59,0.6,0.7,0.69,0.72,0.26,0.34,0.27,0.26,0.27,0.29,0.19,0.23,0.27,0.25
