,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.2,0.03,0.03,0.03,0.03,0.02,0.06,0.11,0.07,0.04,0.06,0.05,0.06,0.05,0.06,
f_1,0.05,2.23,0.03,0.03,0.02,0.02,0.07,0.07,0.05,0.05,0.05,,0.08,0.05,0.07,0.03
d_1,0.03,0.03,2.23,0.02,0.02,0.02,0.04,,0.1,0.05,0.06,0.06,0.09,0.06,0.08,0.05
c_1,0.03,0.03,0.03,2.39,0.04,0.03,0.05,0.08,,0.04,0.04,0.06,0.07,0.05,0.07,0.06
b_1,0.04,0.04,0.02,0.04,2.64,0.02,0.04,0.05,0.05,0.04,,0.06,0.09,,0.06,0.06
a_1,0.04,0.02,0.04,0.02,0.03,3.23,0.06,0.08,0.06,,,,0.1,,0.06,
h_1,0.12,0.16,0.1,0.11,0.07,0.07,2.64,0.22,0.31,0.26,0.18,0.15,,,0.4,0.17
d_0,0.13,0.12,,0.23,0.14,0.12,0.31,1.86,0.35,0.26,0.34,0.3,0.49,0.23,0.34,0.22
c_0,0.14,0.15,0.14,,0.09,0.08,0.28,0.37,1.91,0.24,0.64,0.28,0.37,0.3,0.34,
g_1,0.1,0.11,0.19,0.1,0.06,,0.15,0.26,0.24,3.01,0.2,0.23,0.34,0.19,,0.14
b_0,0.09,0.19,0.15,0.12,,,0.38,0.24,0.39,0.25,2.08,0.34,0.48,0.42,0.27,0.18
f_0,0.11,,0.16,0.1,0.13,,0.22,0.4,0.44,0.29,0.26,2.33,0.43,0.22,0.3,
h_0,0.25,0.29,0.2,0.23,0.18,0.13,,0.45,0.56,0.38,0.44,0.34,,0.37,0.9,
a_0,0.16,0.15,0.15,0.09,,,,0.42,0.43,0.22,0.3,0.31,0.29,2.6,,
g_0,0.19,0.19,0.32,0.23,0.23,0.15,0.43,0.46,0.32,,0.46,0.77,0.49,,,0.35
e_0,,0.11,0.21,0.13,0.17,,0.53,0.32,,0.29,0.34,,,,0.34,2.6
