,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.73,0.86,1.15,1.08,0.79,0.68,0.9,0.66,0.59,0.7,0.73,0.49,0.55,0.74,0.59
f_1,1.36,1.0,1.06,0.92,0.89,0.68,0.53,0.58,0.7,0.63,0.54,0.55,0.62,0.49,0.48,0.56
d_1,1.16,0.95,1.0,0.95,0.83,0.91,0.79,0.65,0.54,0.89,0.7,0.55,0.61,0.64,0.6,0.46
c_1,0.87,1.08,1.05,1.0,1.26,0.91,0.75,0.5,0.63,0.52,0.59,0.56,0.57,0.65,0.61,0.64
b_1,0.92,1.13,1.21,0.8,1.0,1.22,0.76,0.76,0.81,0.71,0.41,0.71,0.57,0.71,0.61,0.44
a_1,1.27,1.47,1.1,1.1,0.82,1.0,0.9,0.67,0.92,0.8,0.88,0.8,0.54,0.63,0.6,0.66
h_1,1.45,1.93,1.26,1.29,1.32,1.06,1.0,0.82,0.94,0.75,0.74,0.74,0.8,0.72,0.76,0.9
d_0,1.12,1.71,1.42,2.1,1.39,1.51,1.21,1.0,1.04,0.82,0.96,0.85,0.96,0.95,0.79,0.98
g_1,1.5,1.46,1.85,1.68,1.2,1.09,1.06,0.94,1.0,1.01,0.87,1.12,0.91,0.83,0.87,0.98
c_0,1.67,1.65,1.17,1.79,1.31,1.21,1.37,1.17,1.03,1.0,1.48,1.07,0.95,0.99,0.95,1.07
b_0,1.41,1.97,1.47,1.65,,1.18,1.36,0.99,1.11,0.69,1.0,1.06,1.5,0.94,0.77,0.88
f_0,1.26,1.84,1.9,1.89,1.4,1.22,1.31,1.15,0.94,1.01,0.92,1.0,1.1,0.94,1.38,0.8
a_0,1.91,1.65,1.64,1.67,1.83,,1.24,1.06,1.12,1.07,0.62,0.95,1.0,1.03,0.93,0.9
h_0,1.76,2.0,1.6,1.6,1.43,1.45,1.36,1.1,1.19,0.99,1.05,0.97,1.01,1.0,0.87,1.24
e_0,1.49,2.11,1.6,1.61,1.56,1.69,1.28,1.28,1.22,1.13,1.33,0.75,0.98,1.24,1.0,1.13
g_0,1.66,1.92,2.16,1.51,2.1,1.51,1.15,0.99,1.04,0.96,1.15,1.25,1.08,0.82,0.92,1.0
