,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.18,12.87,16.94,12.03,16.37,10.72,2.21,2.34,3.61,2.18,2.74,,1.59,2.49,2.67,1.91
e_1,6.51,0.17,12.73,14.17,13.08,10.47,3.18,2.54,3.81,5.51,2.67,3.16,1.85,2.78,,1.93
c_1,13.74,11.04,0.16,17.71,12.4,11.29,3.09,1.6,3.5,,2.93,2.18,2.66,2.68,2.64,1.45
d_1,11.47,18.54,11.97,0.15,15.4,14.83,3.17,,1.84,3.34,2.84,2.6,1.35,2.6,2.56,1.19
b_1,11.63,12.34,7.08,13.75,0.14,15.06,5.09,2.18,4.0,3.4,,2.88,1.57,3.89,2.55,1.49
a_1,17.03,12.85,9.62,18.0,7.29,0.09,4.22,2.25,,2.45,,2.64,1.66,,,1.82
h_1,3.44,3.78,2.71,2.84,2.61,4.22,0.07,0.6,1.25,0.75,0.62,0.68,,0.65,0.71,0.49
d_0,2.93,1.45,2.51,,2.23,2.78,0.86,0.09,0.82,0.39,0.59,0.51,0.34,0.48,0.59,0.57
g_1,5.13,2.8,4.37,3.26,4.0,,0.69,0.89,0.05,0.72,0.69,0.64,0.38,0.69,0.63,
c_0,3.69,2.68,,1.28,2.99,3.5,0.68,0.59,0.55,0.08,0.35,0.63,0.37,0.78,0.43,0.41
b_0,2.65,2.67,3.81,2.84,,,0.88,0.42,0.91,0.22,0.06,0.73,0.41,0.56,0.46,0.47
f_0,,3.99,2.4,2.82,1.83,2.48,0.89,0.71,0.48,0.57,0.58,0.06,0.28,0.51,0.54,0.23
h_0,1.52,1.55,1.91,1.49,1.52,1.45,,0.46,0.69,0.3,0.31,0.32,,0.33,0.32,0.2
a_0,2.72,3.65,1.99,2.37,3.89,,0.77,0.55,0.64,0.51,0.36,0.51,0.38,0.05,,0.38
e_0,2.67,,3.3,2.7,1.91,,0.56,0.79,0.63,0.66,0.49,0.28,0.47,,0.05,0.35
g_0,1.72,2.27,1.85,1.79,3.21,1.82,0.34,0.31,,0.45,0.47,0.31,0.13,0.38,0.26,
