,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,8557.86,4986.5,3114.3,3759.11,5245.51,35466.95,3632205.36,6455830.63,8346396.11,15661611.03,26518684.32,9072397.66,51008645.36,77356382.06,190407591.49,124709791.11
e_1,2131.94,11866.56,3963.48,3345.74,7515.18,32103.58,3794383.66,6235769.4,17151594.4,19922707.08,28258554.68,29993638.38,56573904.9,83877785.16,193156570.89,116114902.43
c_1,1810.26,2334.44,15779.33,3641.13,16028.96,29980.68,3593206.94,6800808.04,8931182.97,6187528.53,17839165.32,26989394.26,59784125.34,65449208.44,176430166.78,204379453.53
d_1,2362.2,2263.81,2588.82,20143.05,6554.51,36323.13,3942884.41,7267360.2,3542590.66,33812005.22,34232017.72,35715285.92,53069074.41,94359991.74,270892516.64,213098416.47
b_1,2013.06,1974.32,3612.65,3800.55,45295.47,70225.09,3784599.59,7127195.21,9903016.76,15469445.11,10626414.19,25577523.35,61359250.05,49274384.22,230803833.73,176697971.02
a_1,2604.66,2601.06,3502.17,3475.29,6943.55,311480.84,3379262.55,7097245.0,10182194.08,17573157.57,21670288.23,21381920.88,64987681.35,28473251.43,168394402.68,130220992.62
h_1,3709.18,3078.16,3274.86,5681.41,7869.33,41499.31,12819351.56,9924661.43,9624731.63,20019798.35,36074571.95,24882806.52,41035202.39,95994059.61,338878157.35,193411069.69
g_1,2022.87,2709.44,3701.94,8373.0,7923.35,38999.72,3977015.62,28498391.35,10059075.65,20846237.82,38706795.4,50373174.28,73650298.01,105229639.69,147660621.79,300442158.53
d_0,2366.66,2654.69,8148.22,2693.69,8973.57,28327.56,4760126.87,8555584.72,23758813.49,16203577.62,35818765.15,39422171.9,81730168.93,121968922.8,249048367.66,309754505.98
c_0,2854.71,2953.7,2615.19,6040.64,5619.46,47032.95,3681878.95,9423496.68,13410187.04,46164375.18,76234526.55,40523326.31,80566048.38,130183724.67,333350490.84,302499981.54
b_0,2661.57,3056.4,3585.62,6590.28,3418.5,40767.71,4536044.7,10881852.24,10223001.33,22327118.1,83280726.09,37497994.46,80597976.12,220877760.01,268311654.85,314925011.3
f_0,1482.57,2417.2,4234.83,6523.18,7593.02,30869.78,4801974.14,10280931.33,13164922.73,26373908.26,40313049.05,94646380.25,91089130.59,135868515.14,331766085.75,614128660.74
h_0,3259.18,2875.35,4374.86,5948.49,8992.3,35746.22,2365156.98,12802240.41,11090416.74,21290002.49,39178881.35,30605678.86,38895122.15,104210670.14,317208308.61,250601665.56
a_0,2475.26,3367.95,4650.1,5752.11,7800.32,20460.1,4900878.75,10456377.27,10243032.15,18123383.89,43314626.27,41781603.63,71659811.46,304499859.9,260500401.82,304995185.68
g_0,2332.81,2466.26,3633.68,8602.33,7684.24,31868.13,4397581.18,5890752.31,9153984.31,19592528.71,44301756.11,56733276.92,72801303.22,115082215.55,141397279.49,287188336.86
e_0,2655.32,1283.36,4948.31,5320.87,13017.83,46384.31,3793785.32,7464331.86,11868809.59,22499928.61,43884940.91,44090586.99,91897558.37,83214664.68,294006926.9,904546265.34
