,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.5,1.03,0.54,0.73,0.58,0.42,2.38,3.07,2.4,2.31,2.91,0.55,4.41,2.25,2.21,3.39
e_1,0.62,5.7,0.55,0.68,0.53,0.66,2.21,5.14,2.03,2.93,2.34,3.31,4.08,2.98,1.25,4.01
d_1,0.64,0.61,6.23,0.39,0.57,0.63,2.38,0.79,2.27,5.71,3.52,3.19,4.47,4.01,3.89,4.0
c_1,0.63,0.54,0.56,6.59,1.1,0.56,2.14,3.46,1.65,0.61,2.66,3.13,5.38,2.63,2.63,3.6
b_1,0.54,0.72,0.65,0.66,7.7,1.25,2.16,2.58,2.07,2.29,0.66,2.44,3.0,1.68,1.58,3.78
a_1,0.63,0.51,0.7,0.61,0.51,10.76,2.04,2.73,1.73,3.15,3.09,3.94,5.26,1.37,3.21,5.97
h_1,1.59,0.76,1.22,0.96,0.92,0.88,14.65,4.37,5.25,5.08,4.79,3.95,2.86,4.86,6.08,9.61
d_0,1.32,1.08,0.29,2.26,0.91,0.82,3.3,12.51,2.37,3.59,4.79,5.8,6.99,4.29,5.91,7.77
g_1,0.88,0.77,1.72,0.97,1.05,1.07,2.59,4.27,18.44,4.04,6.47,10.15,7.03,6.2,6.3,3.49
c_0,1.27,0.85,1.3,0.35,0.96,1.0,4.83,4.34,5.31,14.67,11.59,5.98,9.14,8.39,6.24,9.08
b_0,1.04,1.25,1.18,1.2,0.24,0.65,4.73,5.33,5.71,5.07,17.14,6.49,7.76,12.11,7.35,6.86
f_0,0.53,0.93,1.56,0.96,1.47,0.72,3.02,4.64,4.87,5.57,6.28,18.38,8.48,5.77,12.72,9.09
h_0,1.43,0.92,0.96,1.07,0.94,1.22,1.79,4.75,4.07,4.81,5.94,6.12,3.54,5.99,6.17,9.72
a_0,1.31,1.04,1.27,1.12,0.98,,4.56,4.48,4.62,5.73,6.06,6.66,7.37,22.58,6.56,8.4
e_0,1.28,0.32,1.12,1.1,1.29,0.85,4.94,6.57,4.23,6.35,7.86,6.95,9.76,4.37,23.31,14.0
g_0,0.8,0.82,1.9,0.86,1.21,0.85,3.5,3.83,2.56,4.11,5.49,10.14,5.47,5.6,5.81,4.07
