,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,37.02,0.06,0.06,0.05,0.06,0.08,0.29,0.23,0.78,,0.38,0.37,0.34,0.55,0.46,0.66
f_1,0.06,37.2,0.14,0.07,0.08,0.09,0.29,0.25,0.3,0.31,0.33,,0.27,0.81,0.26,0.42
e_1,0.06,0.07,40.24,0.08,0.06,0.04,0.34,0.22,0.38,0.77,0.36,0.35,0.4,0.38,,0.41
c_1,0.07,0.05,0.06,41.98,0.13,0.04,0.33,0.19,,0.36,0.37,0.44,0.43,0.63,0.5,0.59
b_1,0.07,0.06,0.08,0.08,47.53,0.11,0.2,0.38,0.34,0.4,,0.41,0.3,0.56,0.34,0.54
a_1,0.07,0.08,0.05,0.07,0.06,77.05,0.26,0.29,0.49,0.3,0.27,0.34,,0.71,,0.49
h_1,0.27,0.34,0.14,0.22,0.21,0.29,26.65,1.48,1.71,1.29,1.65,1.35,1.9,,1.81,2.55
g_1,0.5,0.24,0.26,0.22,0.31,0.24,0.66,33.19,1.07,0.87,1.67,2.35,1.41,1.59,1.7,
c_0,0.33,0.42,0.32,,0.32,0.25,1.72,1.6,18.1,2.22,3.2,2.24,1.47,2.47,1.96,2.69
d_0,,0.37,0.37,0.77,0.28,0.37,1.38,1.32,1.43,18.86,1.8,1.82,1.49,3.37,2.11,3.35
b_0,0.33,0.34,0.16,0.28,,0.28,1.99,0.97,2.09,3.02,21.57,2.3,2.88,3.68,1.45,3.14
f_0,0.4,,0.37,0.28,0.39,0.35,1.41,1.3,2.11,1.9,2.22,20.86,1.8,2.8,3.24,3.68
a_0,0.28,0.37,0.4,0.35,0.41,,1.79,1.42,1.21,1.99,1.57,1.59,28.8,3.83,2.14,2.43
h_0,0.61,0.72,0.59,0.44,0.55,0.66,,4.16,2.04,2.71,2.58,2.03,3.05,,1.83,7.12
e_0,0.31,0.45,,0.33,0.25,0.41,1.92,1.62,2.28,2.03,1.8,1.94,1.82,3.11,29.11,2.78
g_0,0.55,0.35,0.56,0.73,0.47,0.47,2.21,,3.2,2.38,3.06,4.32,3.29,5.66,2.97,
