,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,5.99,3.03,2.46,3.58,2.89,2.85,10.18,10.09,21.1,12.16,13.69,13.4,20.1,19.44,14.64,12.26
f_1,4.43,6.14,2.53,2.96,2.47,2.39,10.21,9.59,13.88,11.76,13.59,9.99,17.43,18.26,14.56,10.85
d_1,2.56,3.12,6.69,2.37,2.8,2.86,10.31,12.04,9.58,23.02,18.51,17.04,21.09,21.11,16.42,15.55
c_1,2.52,2.68,2.79,6.84,4.72,3.34,9.25,10.47,12.73,8.82,9.24,12.11,20.55,19.72,14.48,13.61
b_1,2.61,2.8,2.77,3.0,7.5,5.13,9.94,9.06,12.28,13.91,10.38,12.34,20.76,19.4,10.76,16.39
a_1,2.68,3.02,2.76,3.03,2.96,10.97,11.38,11.84,13.18,11.2,13.34,13.47,21.75,22.24,11.79,15.64
h_1,2.91,3.68,3.07,3.19,2.9,2.9,18.35,13.01,12.31,13.11,15.39,16.05,16.81,29.07,16.63,18.68
g_1,2.9,2.81,4.35,2.87,2.82,3.2,10.33,22.2,9.54,14.31,15.84,21.95,21.94,19.78,16.74,19.86
d_0,2.86,3.23,2.49,4.97,3.21,2.94,10.44,10.35,19.32,10.23,14.42,13.57,22.83,21.92,15.35,18.42
c_0,3.0,3.24,3.35,2.71,2.62,2.93,11.96,11.06,14.3,21.3,28.77,15.61,21.77,25.82,21.1,17.65
b_0,3.17,3.21,3.39,3.23,2.8,2.74,11.46,11.52,12.47,13.27,23.52,14.49,22.6,24.55,31.15,17.31
f_0,2.49,2.65,3.44,3.42,3.13,4.09,10.75,12.05,13.77,15.91,16.55,26.06,22.98,27.51,18.32,32.06
h_0,3.12,4.26,3.09,3.04,2.8,3.01,8.75,13.71,12.92,13.73,14.25,14.52,17.91,26.23,15.16,15.39
g_0,2.8,2.97,4.54,3.28,2.74,2.61,10.94,9.34,11.71,14.02,14.78,21.5,22.39,20.89,15.11,16.67
a_0,3.25,3.28,2.88,3.65,2.89,2.96,10.48,10.02,14.03,14.25,16.38,14.28,23.55,21.66,32.08,15.76
e_0,2.23,3.08,3.41,3.76,3.15,3.36,12.23,11.04,13.44,14.24,16.19,16.24,21.65,23.55,17.45,32.4
