,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.37,1.84,1.11,1.17,1.01,0.91,1.85,2.33,2.14,1.88,2.29,1.69,2.83,2.29,2.85,1.93
e_1,0.95,2.42,1.04,1.3,1.27,1.26,1.94,2.13,4.24,2.57,2.71,2.75,2.61,2.56,3.17,1.75
d_1,1.26,0.98,2.54,1.04,1.1,1.09,2.47,2.12,1.58,3.87,2.98,2.66,3.31,2.52,2.61,2.76
c_1,1.16,1.09,1.04,2.61,1.79,1.06,2.3,1.96,1.91,1.55,1.78,2.77,2.83,2.87,2.69,2.36
b_1,1.17,1.08,1.03,1.06,2.78,1.93,2.38,1.99,2.38,2.4,1.35,2.14,3.45,1.82,3.45,2.72
a_1,1.37,0.99,1.31,1.09,0.97,3.24,2.4,2.37,2.42,2.54,2.67,2.67,3.83,2.02,2.83,2.59
h_1,1.69,1.21,1.28,1.16,1.06,0.96,3.98,3.02,2.67,2.92,2.62,2.37,2.49,2.62,4.68,2.92
g_1,1.11,1.16,1.72,1.35,1.16,1.14,2.25,4.36,2.64,2.61,2.67,3.77,2.97,2.99,2.62,2.78
d_0,1.35,0.94,1.0,2.19,1.16,1.21,2.44,1.95,3.91,2.23,2.94,2.54,3.08,2.68,3.24,3.74
c_0,1.55,1.13,1.3,1.06,0.91,1.13,2.5,2.64,2.7,4.06,4.65,2.29,4.11,3.51,4.02,3.79
b_0,1.52,1.05,1.29,1.47,0.84,1.06,2.71,2.74,2.73,2.36,4.2,2.62,3.4,4.58,3.66,3.26
f_0,0.95,0.95,1.55,1.35,1.29,1.32,2.65,1.98,3.03,3.66,3.06,4.45,3.41,2.67,3.7,5.36
h_0,1.68,1.25,1.3,1.29,1.21,1.01,1.87,3.0,2.54,2.44,2.78,2.57,2.74,2.89,4.45,2.6
a_0,1.65,1.06,1.37,1.13,1.31,0.8,2.78,2.37,2.74,2.43,2.42,3.14,3.62,4.88,3.63,3.53
g_0,1.14,1.07,1.83,1.35,1.19,1.2,1.77,2.01,2.45,2.67,3.0,3.87,3.01,2.65,2.88,2.86
e_0,1.71,0.86,1.25,1.42,1.16,1.2,2.55,2.6,2.73,2.55,3.06,2.17,4.2,3.47,3.57,5.26
