,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.91,0.38,0.25,0.35,0.25,0.17,0.26,0.52,0.26,0.22,0.3,0.25,0.31,0.19,0.12,0.21
f_1,0.59,0.9,0.27,0.27,0.2,0.16,0.3,0.32,0.28,0.2,0.27,0.15,0.23,0.16,0.11,0.23
d_1,0.34,0.35,0.91,0.18,0.24,0.18,0.31,0.17,0.54,0.24,0.32,0.28,0.29,0.19,0.17,0.25
c_1,0.29,0.3,0.27,0.91,0.48,0.2,0.25,0.3,0.13,0.18,0.21,0.23,0.26,0.14,0.16,0.22
b_1,0.3,0.31,0.29,0.29,0.89,0.39,0.27,0.28,0.28,0.25,0.18,0.27,0.26,0.13,0.19,0.2
a_1,0.36,0.42,0.29,0.3,0.24,0.88,0.31,0.33,0.26,0.16,0.26,0.22,0.27,0.11,0.19,0.26
h_1,0.34,0.5,0.38,0.28,0.24,0.17,0.62,0.29,0.35,0.33,0.29,0.29,0.23,0.22,0.17,0.33
d_0,0.38,0.4,0.22,0.56,0.28,0.2,0.27,0.5,0.22,0.23,0.26,0.25,0.31,0.17,0.17,0.23
c_0,0.4,0.45,0.37,0.2,0.24,0.21,0.36,0.29,0.52,0.26,0.54,0.28,0.31,0.24,0.19,0.28
g_1,0.3,0.32,0.59,0.29,0.21,0.22,0.32,0.27,0.32,0.62,0.27,0.42,0.29,0.16,0.25,0.2
b_0,0.42,0.38,0.38,0.33,0.18,0.17,0.34,0.33,0.35,0.26,0.5,0.29,0.33,0.39,0.2,0.28
f_0,0.29,0.29,0.41,0.37,0.25,0.22,0.33,0.34,0.36,0.29,0.34,0.53,0.36,0.23,0.42,0.29
h_0,0.38,0.48,0.34,0.33,0.28,0.19,0.28,0.32,0.32,0.37,0.3,0.29,0.23,0.19,0.19,0.34
a_0,0.43,0.41,0.38,0.29,0.24,0.11,0.37,0.28,0.32,0.28,0.3,0.32,0.35,0.44,0.17,0.29
e_0,0.26,0.41,0.37,0.29,0.31,0.21,0.39,0.32,0.36,0.28,0.38,0.33,0.3,0.23,0.45,0.27
g_0,0.34,0.3,0.52,0.3,0.27,0.18,0.31,0.25,0.33,0.2,0.32,0.44,0.31,0.26,0.22,0.2
