,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.51,1.35,0.86,0.81,0.77,0.65,0.93,1.08,0.92,0.9,0.91,0.71,0.95,0.65,0.8,1.05
e_1,0.87,1.52,1.16,0.79,0.77,0.68,0.97,1.66,1.0,0.94,1.1,1.06,1.23,0.78,0.93,0.97
c_1,0.96,0.74,1.57,0.89,1.45,0.85,1.02,0.89,0.71,0.84,0.67,0.93,1.12,0.96,0.71,0.89
d_1,1.12,0.97,0.77,1.59,0.82,0.64,1.02,0.94,1.59,0.85,1.13,0.95,1.26,0.84,0.91,0.95
b_1,0.95,0.95,0.75,0.92,1.62,1.37,1.06,0.99,1.08,0.94,0.76,1.0,1.11,0.9,0.67,1.06
a_1,1.11,0.91,0.94,1.07,0.73,1.75,1.29,1.21,1.2,1.18,1.32,1.23,1.19,1.04,0.86,1.16
h_1,1.43,1.19,1.09,1.24,1.0,0.76,1.84,1.23,1.16,1.51,1.24,1.27,1.15,1.17,1.2,1.58
d_0,1.11,1.03,1.8,0.87,1.25,0.84,1.37,1.7,1.14,1.2,1.21,1.33,1.46,1.25,1.16,1.42
c_0,1.33,1.23,1.18,1.13,0.93,0.92,1.52,1.48,1.76,1.34,2.26,1.3,1.51,1.19,1.29,1.51
g_1,1.18,1.16,1.22,1.53,0.95,0.89,1.17,1.29,1.33,1.92,1.19,1.62,1.31,1.32,1.22,0.98
b_0,1.47,1.23,1.48,1.1,0.87,0.68,1.48,1.53,1.18,1.36,1.84,1.23,1.71,1.29,2.18,1.45
f_0,1.21,1.0,1.34,1.34,1.16,0.94,1.36,1.5,1.41,1.18,1.44,1.87,1.4,2.14,1.34,1.32
h_0,1.64,1.15,1.26,1.19,1.05,0.98,1.26,1.48,1.4,1.62,1.45,1.28,1.33,1.11,1.18,1.83
e_0,1.36,1.1,1.31,1.44,1.32,1.03,1.43,1.34,1.47,1.25,1.27,1.31,1.5,1.84,1.33,1.62
a_0,1.52,1.21,1.42,1.27,1.39,0.63,1.44,1.73,1.5,1.17,1.32,1.32,1.8,1.49,1.93,1.47
g_0,1.26,1.2,1.27,1.82,1.12,0.97,1.33,1.32,1.51,1.32,1.5,1.87,1.31,1.39,1.34,1.25
