,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,0.98,1.01,0.88,1.33,0.58,0.52,0.48,0.31,0.3,0.41,0.32,0.36,0.32,0.29,0.3
f_1,1.02,1.0,0.99,1.27,0.83,0.6,0.42,0.49,0.42,0.39,0.34,0.36,0.28,0.22,0.32,0.32
d_1,0.98,1.01,1.0,0.99,0.95,0.77,0.53,0.37,0.46,0.55,0.38,0.44,0.34,0.35,0.31,0.26
e_1,1.14,0.79,1.01,1.0,0.99,0.82,0.51,0.5,0.62,0.43,0.45,0.4,0.38,0.43,0.35,0.38
b_1,0.75,1.21,1.06,1.01,1.0,1.25,0.64,0.48,0.49,0.49,0.42,0.41,0.38,0.33,0.35,0.33
a_1,1.72,1.66,1.3,1.22,0.8,1.0,0.62,0.75,0.62,0.59,0.52,0.6,0.47,0.56,0.46,0.5
h_1,2.0,2.29,1.91,1.98,1.66,1.55,1.0,1.04,0.89,0.83,0.71,0.77,0.66,0.55,0.62,0.76
g_1,2.11,2.1,2.66,1.98,2.11,1.36,0.94,1.0,0.93,0.85,1.16,0.82,0.6,0.77,0.68,0.72
d_0,3.28,2.26,2.24,1.59,2.18,1.54,1.12,1.02,1.0,0.74,1.08,0.82,0.74,0.85,0.81,0.77
c_0,3.17,2.45,1.77,2.3,1.89,1.69,1.25,1.15,1.25,1.0,0.98,1.39,0.89,0.97,0.87,0.8
f_0,2.62,2.74,2.68,2.15,2.4,1.86,1.34,0.87,1.03,1.05,1.0,1.14,0.89,1.32,0.99,0.69
b_0,3.07,2.91,2.25,2.47,2.45,1.67,1.29,1.18,1.18,0.77,0.86,1.0,0.96,0.89,1.3,0.86
h_0,2.74,3.55,2.98,2.75,2.5,2.02,1.53,1.68,1.36,1.2,1.22,1.02,1.0,0.97,0.98,1.07
e_0,3.02,4.63,2.98,2.64,2.99,1.85,1.68,1.26,1.16,1.0,0.79,1.1,1.12,1.0,0.95,0.94
a_0,3.34,3.07,3.23,2.86,2.85,2.37,1.52,1.52,1.26,1.12,1.02,0.78,1.02,0.99,1.0,1.03
g_0,3.45,3.06,3.68,2.64,2.94,2.04,1.29,1.37,1.29,1.3,1.49,1.18,0.93,1.01,1.04,1.0
