,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.25,0.15,0.22,0.26,0.2,0.13,0.46,0.93,0.34,0.49,0.47,0.54,0.56,0.43,0.16,0.44
d_1,0.22,2.31,0.25,0.18,0.2,0.16,0.42,0.14,0.38,0.9,0.42,0.58,0.52,0.38,0.41,0.64
f_1,0.38,0.23,2.32,0.22,0.2,0.15,0.39,0.49,0.31,0.46,0.52,0.08,0.63,0.45,0.3,0.47
c_1,0.21,0.23,0.22,2.4,0.41,0.16,0.42,0.53,0.33,0.06,0.36,0.37,0.48,0.37,0.33,0.65
b_1,0.2,0.25,0.25,0.18,2.57,0.35,0.41,0.46,0.43,0.45,0.1,0.43,0.58,0.22,0.36,0.45
a_1,0.29,0.23,0.23,0.27,0.17,3.08,0.36,0.35,0.38,0.48,0.39,0.36,0.6,0.07,0.33,0.49
h_1,0.35,0.45,0.53,0.36,0.34,0.28,2.77,0.71,0.74,0.68,0.86,0.64,0.25,0.63,0.71,0.88
d_0,0.46,0.14,0.42,0.77,0.26,0.31,0.84,2.15,0.66,0.66,0.92,0.61,1.09,0.69,0.54,0.81
g_1,0.32,0.64,0.31,0.41,0.31,0.28,0.63,0.68,3.05,0.75,0.68,1.2,0.62,0.61,0.53,0.29
c_0,0.38,0.5,0.54,0.12,0.32,0.25,0.76,0.86,0.65,2.34,1.6,0.93,1.15,0.72,0.64,0.97
b_0,0.49,0.51,0.42,0.48,0.13,0.18,0.88,0.9,0.59,0.84,2.42,0.77,1.21,1.34,0.59,0.77
f_0,0.4,0.46,0.13,0.4,0.33,0.32,0.82,0.84,0.87,1.09,1.0,2.64,0.87,0.84,1.5,0.88
h_0,0.38,0.5,0.5,0.48,0.24,0.3,0.24,0.88,0.81,0.56,0.64,0.67,0.47,0.77,0.68,1.35
a_0,0.43,0.47,0.44,0.42,0.32,,0.72,0.87,0.91,0.83,0.92,0.8,1.41,2.6,0.81,0.69
e_0,0.14,0.47,0.45,0.38,0.28,0.29,1.03,1.35,0.9,0.96,1.08,0.77,1.42,0.88,2.94,1.32
g_0,0.28,0.61,0.43,0.33,0.34,0.3,0.76,0.79,0.32,0.94,0.86,0.99,1.22,0.54,0.7,0.35
