,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.95,0.84,0.87,0.84,0.85,0.33,0.49,0.4,0.36,0.33,0.61,0.26,0.35,0.33,0.37
e_1,0.58,0.42,0.9,1.08,0.92,0.79,0.59,0.48,0.48,0.42,0.43,0.55,0.4,0.42,0.57,0.43
d_1,0.94,1.03,0.39,0.81,0.88,0.8,0.47,0.32,0.62,0.46,0.39,0.38,0.33,0.43,0.44,0.23
c_1,0.95,0.71,1.01,0.38,1.01,0.78,0.55,0.49,0.23,0.45,0.4,0.35,0.31,0.39,0.39,0.31
b_1,1.04,0.82,0.91,0.53,0.36,1.13,0.46,0.64,0.4,0.45,0.83,0.38,0.4,0.38,0.47,0.33
a_1,1.03,0.99,0.97,1.12,0.48,0.3,0.53,0.44,0.47,0.45,0.46,0.36,0.38,0.64,0.45,0.43
h_1,0.87,0.81,0.65,0.75,0.84,0.71,0.26,0.5,0.35,0.34,0.34,0.32,0.35,0.36,0.31,0.37
g_1,0.83,0.82,0.81,0.82,0.78,0.96,0.32,0.23,0.35,0.33,0.31,0.34,0.22,0.28,0.33,0.3
d_0,0.79,0.47,1.11,1.09,0.94,0.76,0.52,0.58,0.25,0.29,0.36,0.32,0.32,0.36,0.32,0.37
c_0,0.84,0.71,0.51,1.47,0.79,0.71,0.47,0.47,0.51,0.25,0.4,0.38,0.31,0.4,0.32,0.3
b_0,0.8,0.76,0.74,0.95,1.06,0.72,0.39,0.51,0.33,0.21,0.24,0.35,0.3,0.41,0.27,0.3
f_0,1.07,0.69,0.71,0.82,0.81,0.89,0.47,0.31,0.38,0.31,0.34,0.22,0.31,0.42,0.34,0.21
h_0,0.85,0.67,0.68,0.81,0.88,0.67,0.59,0.48,0.34,0.34,0.35,0.32,0.37,0.33,0.31,0.3
a_0,0.77,0.76,0.7,0.82,1.34,1.1,0.41,0.49,0.32,0.27,0.21,0.32,0.3,0.2,0.35,0.28
e_0,1.03,0.92,0.68,0.8,0.71,0.66,0.44,0.39,0.42,0.34,0.37,0.21,0.3,0.35,0.2,0.33
g_0,0.76,0.68,0.82,0.88,0.84,0.63,0.32,0.54,0.34,0.3,0.34,0.37,0.25,0.4,0.32,0.34
