,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.48,0.8,0.91,0.57,0.53,0.49,0.89,1.65,0.86,0.77,1.04,0.97,0.91,0.94,0.55,0.97
f_1,1.14,2.6,0.66,0.58,0.54,0.64,0.83,0.85,0.84,0.91,0.86,0.49,0.9,0.76,0.65,0.76
c_1,0.59,0.62,2.67,0.65,1.22,0.49,0.82,0.95,0.8,0.36,0.74,0.96,0.95,0.95,0.88,0.85
d_1,0.56,0.65,0.5,2.83,0.71,0.61,1.09,0.46,1.03,1.77,1.07,1.0,1.0,1.08,1.02,1.04
b_1,0.63,0.6,0.64,0.67,3.12,1.3,0.74,0.86,0.78,0.82,0.4,0.88,0.98,0.83,1.06,0.83
a_1,0.74,0.68,0.61,0.67,0.6,4.27,0.87,0.72,0.93,1.04,1.07,0.96,1.19,0.54,1.0,1.15
h_1,0.73,1.15,0.68,0.94,0.63,0.65,3.06,1.01,1.6,1.14,1.08,1.24,0.68,1.23,1.0,1.57
d_0,0.77,0.85,1.49,0.44,0.79,0.71,1.22,1.95,0.91,0.81,1.22,1.09,1.07,1.26,1.23,1.06
g_1,0.67,0.75,0.76,1.26,0.66,0.74,1.16,0.92,3.4,1.23,1.3,1.98,1.2,0.89,1.39,0.88
c_0,0.74,0.92,0.55,0.99,0.63,0.78,1.3,1.11,1.26,2.21,2.42,1.09,1.34,1.36,1.56,1.22
b_0,0.85,0.79,0.94,0.98,0.32,0.65,1.25,1.31,1.14,1.09,2.49,1.24,1.24,2.61,1.69,1.41
f_0,0.6,0.55,0.92,0.92,0.9,0.83,1.24,1.21,1.17,1.13,1.46,2.5,1.27,1.11,2.83,1.6
h_0,0.81,1.21,0.75,0.92,0.68,0.68,0.81,1.01,1.5,1.11,1.17,1.29,0.82,1.22,1.11,1.6
a_0,0.78,0.95,0.85,0.98,0.67,0.59,1.16,1.52,0.93,1.52,1.25,1.25,1.25,3.09,1.19,1.1
e_0,0.39,1.0,0.88,0.91,0.78,1.1,1.37,0.96,1.06,1.01,1.12,1.22,1.21,1.12,3.25,1.6
g_0,0.71,0.66,0.68,1.51,0.8,0.69,1.03,0.8,0.69,1.05,1.3,1.83,1.14,1.28,1.45,0.95
