,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.07,2.07,3.41,3.57,3.04,3.09,1.37,1.12,1.09,1.27,1.05,1.05,0.86,0.87,1.73,0.93
f_1,3.75,1.07,3.46,2.36,3.83,2.49,1.09,1.24,1.02,1.44,1.01,2.15,0.8,0.57,0.82,0.75
c_1,3.32,3.23,1.07,4.13,3.77,3.06,1.58,0.6,1.79,1.39,1.11,0.85,0.92,0.72,0.79,0.75
d_1,4.22,5.22,3.43,1.07,3.43,2.7,1.16,2.47,1.21,0.82,0.94,0.98,1.0,0.85,0.76,0.51
b_1,4.62,4.0,2.32,3.96,1.07,4.69,1.42,1.31,1.15,1.44,2.0,1.33,1.08,0.91,0.8,0.9
a_1,5.41,6.16,7.25,6.01,2.84,1.07,1.86,1.66,1.36,2.12,1.37,2.11,,1.4,1.56,1.05
h_1,7.98,8.72,6.89,6.96,6.17,5.91,1.38,2.32,2.28,2.85,2.02,1.91,1.78,2.17,2.17,1.84
d_0,5.08,7.77,11.58,12.97,7.06,8.39,3.8,1.63,2.5,2.89,2.36,2.2,1.9,2.09,2.06,1.77
c_0,7.72,8.59,17.54,5.19,8.59,8.95,3.55,3.01,1.63,3.28,3.12,2.2,2.31,2.02,2.72,1.73
g_1,9.18,9.81,7.88,8.93,9.17,7.94,2.47,3.27,2.22,1.38,2.31,2.53,1.9,1.72,2.19,2.57
b_0,8.0,9.82,9.88,10.52,19.06,7.67,3.6,2.61,1.77,3.47,1.63,2.23,3.26,1.95,2.36,1.94
f_0,8.58,18.28,11.13,9.91,9.47,6.92,3.68,2.98,2.69,2.55,3.38,1.59,2.95,1.98,2.86,1.57
a_0,11.11,13.71,14.03,13.04,13.12,,4.84,3.86,3.86,5.15,2.03,3.09,1.64,2.75,3.07,3.04
h_0,10.8,13.64,14.09,11.52,12.36,9.11,7.45,3.5,4.0,4.84,4.1,4.12,3.53,4.51,3.07,2.54
e_0,23.34,19.82,12.9,17.29,15.47,8.26,5.18,4.85,3.72,5.66,3.71,2.23,3.61,2.95,1.65,2.79
g_0,11.78,17.08,15.1,16.24,13.75,13.97,4.09,4.95,3.87,7.64,3.91,4.55,3.58,2.77,3.73,4.5
