,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,15.18,0.6,0.54,0.68,0.52,0.46,0.93,0.78,0.75,2.21,0.92,0.89,1.08,0.91,0.43,0.99
f_1,1.1,16.96,0.5,0.46,0.45,0.55,0.72,0.76,0.58,0.76,0.88,0.25,0.85,0.84,0.61,0.82
d_1,0.48,0.54,18.71,0.47,0.52,0.64,0.93,2.09,1.01,0.35,0.95,0.96,0.96,0.95,1.13,0.85
c_1,0.51,0.5,0.5,20.94,1.14,0.39,0.75,0.27,0.93,0.79,0.79,1.02,0.91,0.69,0.86,1.02
b_1,0.48,0.55,0.53,0.54,23.89,1.23,0.89,0.73,0.66,0.79,0.23,0.94,0.96,0.69,0.88,0.88
a_1,0.52,0.52,0.5,0.62,0.48,30.63,0.97,0.88,1.11,0.63,1.14,1.22,1.02,0.55,1.19,1.02
h_1,0.52,1.03,0.7,0.63,0.63,0.58,5.74,1.0,1.65,1.14,1.38,1.31,0.57,1.08,1.39,1.62
c_0,0.69,0.7,0.8,0.32,0.53,0.61,1.46,3.52,1.29,1.32,3.23,1.46,1.47,1.75,1.45,1.34
g_1,0.46,0.57,1.21,0.58,0.81,0.8,0.9,1.22,7.11,0.76,1.31,2.05,0.9,1.17,1.11,0.5
d_0,0.6,0.73,0.3,1.69,0.69,0.58,0.97,0.94,1.11,2.94,1.22,1.13,1.45,1.19,1.19,1.59
b_0,0.57,0.76,0.93,0.69,0.44,0.46,1.15,1.31,1.15,1.15,3.66,1.32,1.12,3.46,1.39,1.36
f_0,0.42,0.33,0.94,0.95,0.72,0.77,1.27,1.27,1.25,1.56,1.17,4.19,1.41,1.51,3.21,1.37
h_0,0.76,1.04,0.76,0.71,0.69,0.53,0.59,1.05,1.58,1.13,1.45,1.08,0.6,1.2,1.24,1.56
a_0,0.62,0.67,0.96,0.81,0.63,0.16,1.2,1.47,1.1,1.28,1.03,1.25,1.63,5.21,1.58,1.2
e_0,0.25,0.97,0.58,0.7,0.64,0.83,1.65,1.56,1.56,1.08,1.53,1.57,1.68,1.7,5.68,1.3
g_0,0.57,0.6,1.45,0.78,0.6,0.53,0.95,1.27,0.66,0.95,1.31,2.05,1.09,1.27,1.39,0.81
