,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.44,1.61,1.48,2.13,1.76,1.4,3.47,3.22,5.24,3.34,3.83,3.6,4.47,4.23,3.13,4.83
f_1,2.25,2.46,1.59,1.69,1.53,1.57,3.12,3.1,3.6,3.42,3.49,2.87,4.1,3.36,2.91,4.57
d_1,1.68,1.75,2.56,1.43,1.52,1.81,3.09,3.45,2.99,5.43,4.47,3.73,4.47,3.74,4.31,4.14
c_1,1.4,1.69,1.73,2.65,2.72,1.74,3.12,3.13,2.95,2.46,2.53,3.65,4.56,3.37,3.63,4.28
b_1,1.58,1.85,1.81,1.37,2.79,3.08,3.18,2.9,3.31,3.76,3.22,3.51,4.58,3.25,3.52,4.34
a_1,1.81,1.85,1.71,1.62,1.26,3.48,3.55,3.47,3.72,3.85,4.25,3.81,5.01,3.38,4.32,4.36
h_1,1.62,2.08,1.91,1.67,1.72,1.56,4.48,3.7,3.13,3.58,3.71,3.72,3.9,3.25,3.47,5.65
g_1,1.54,1.66,2.14,1.75,1.71,1.61,3.17,4.62,3.46,3.83,4.23,4.83,4.14,3.81,4.44,4.88
d_0,1.5,1.69,1.51,2.63,1.98,1.5,3.63,3.44,4.39,2.29,3.02,3.82,4.69,3.89,3.91,4.92
c_0,1.83,1.86,1.63,1.82,1.44,1.53,3.37,3.66,4.39,4.48,5.96,4.11,4.79,5.02,3.99,4.88
b_0,1.72,1.88,1.69,2.09,1.6,1.37,3.62,3.68,4.1,3.1,4.71,3.66,5.04,6.16,3.75,5.07
f_0,1.51,1.59,1.85,1.93,1.92,1.68,3.17,3.22,3.72,3.48,3.92,5.01,5.53,3.9,6.6,4.6
h_0,1.6,2.05,1.85,1.82,1.72,1.51,3.06,4.06,3.49,3.68,3.49,3.58,4.25,4.03,3.63,5.97
a_0,1.63,2.01,1.73,1.96,1.67,1.3,3.9,3.55,3.48,3.29,3.32,3.5,4.74,5.4,3.76,4.49
e_0,1.47,1.68,1.79,1.95,1.88,1.73,3.52,3.39,3.85,3.85,4.0,3.54,5.12,3.73,5.58,4.84
g_0,1.53,1.49,2.38,1.76,1.75,1.59,3.04,3.11,3.1,3.78,3.47,4.94,4.36,3.65,4.97,4.4
