,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,0.59,0.73,0.57,0.64,0.64,0.13,0.13,0.22,0.12,0.13,0.26,0.07,0.13,0.13,0.09
e_1,0.36,0.17,0.76,0.82,0.74,0.62,0.19,0.15,0.25,0.19,0.14,0.17,0.11,0.14,0.38,0.13
c_1,0.77,0.5,0.15,0.81,0.62,0.61,0.2,0.08,0.18,0.22,0.13,0.12,0.11,0.12,0.12,0.09
d_1,0.71,0.87,0.75,0.15,0.78,0.54,0.16,0.28,0.1,0.12,0.13,0.11,0.08,0.11,0.11,0.06
b_1,0.74,0.67,0.33,0.78,0.13,0.74,0.25,0.15,0.21,0.2,0.42,0.16,0.1,0.17,0.12,0.1
a_1,0.81,0.71,0.59,0.76,0.31,0.09,0.25,0.15,0.23,0.14,0.29,0.14,0.11,0.38,0.16,0.09
h_1,0.49,0.5,0.54,0.54,0.51,0.51,0.06,0.11,0.17,0.11,0.11,0.11,0.12,0.1,0.1,0.09
d_0,0.57,0.31,0.58,0.77,0.52,0.54,0.2,0.07,0.15,0.11,0.1,0.11,0.09,0.12,0.1,0.1
g_1,0.61,0.55,0.59,0.52,0.54,0.38,0.12,0.12,0.05,0.11,0.11,0.1,0.06,0.1,0.11,0.13
c_0,0.57,0.56,1.32,0.25,0.65,0.48,0.16,0.15,0.13,0.06,0.09,0.11,0.09,0.11,0.1,0.09
b_0,0.48,0.5,0.75,0.35,1.02,0.69,0.15,0.11,0.14,0.06,0.05,0.13,0.09,0.11,0.09,0.09
f_0,0.75,0.54,0.55,0.57,0.41,0.51,0.15,0.14,0.08,0.11,0.1,0.05,0.07,0.09,0.1,0.05
h_0,0.51,0.56,0.5,0.47,0.53,0.42,0.24,0.13,0.18,0.09,0.11,0.09,0.12,0.1,0.1,0.07
a_0,0.56,0.52,0.48,0.47,0.67,0.99,0.15,0.12,0.16,0.1,0.06,0.11,0.08,0.04,0.11,0.06
e_0,0.77,0.81,0.45,0.45,0.46,0.53,0.14,0.12,0.12,0.1,0.1,0.05,0.07,0.09,0.04,0.07
g_0,0.56,0.49,0.55,0.51,0.56,0.61,0.11,0.11,0.22,0.11,0.1,0.1,0.06,0.1,0.1,0.11
