,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.42,0.47,0.69,0.72,0.74,0.64,0.4,0.32,0.4,0.37,0.31,0.39,0.25,0.32,0.43,0.3
f_1,0.71,0.41,0.64,0.71,0.62,0.65,0.28,0.3,0.36,0.3,0.28,0.36,0.21,0.28,0.23,0.27
d_1,0.67,0.75,0.4,0.64,0.65,0.64,0.35,0.35,0.26,0.38,0.28,0.29,0.24,0.29,0.34,0.19
c_1,0.56,0.66,0.83,0.37,0.74,0.63,0.38,0.35,0.41,0.2,0.31,0.28,0.26,0.27,0.29,0.24
b_1,0.67,0.73,0.69,0.44,0.34,0.82,0.38,0.33,0.33,0.29,0.34,0.29,0.26,0.3,0.32,0.28
a_1,0.73,0.69,0.66,0.68,0.39,0.31,0.4,0.34,0.37,0.33,0.43,0.35,0.31,0.55,0.32,0.3
h_1,0.58,0.72,0.61,0.66,0.59,0.52,0.24,0.26,0.39,0.29,0.28,0.28,0.29,0.27,0.26,0.26
c_0,0.66,0.74,0.43,0.86,0.66,0.62,0.37,0.23,0.35,0.34,0.34,0.28,0.26,0.31,0.27,0.24
g_1,0.63,0.72,0.67,0.6,0.66,0.53,0.27,0.26,0.21,0.27,0.29,0.3,0.19,0.29,0.26,0.26
d_0,0.44,0.62,0.72,0.78,0.72,0.65,0.36,0.28,0.38,0.24,0.31,0.26,0.25,0.29,0.29,0.26
b_0,0.65,0.65,0.59,0.68,0.82,0.51,0.34,0.2,0.33,0.27,0.22,0.26,0.23,0.38,0.28,0.22
f_0,0.58,0.86,0.62,0.65,0.66,0.53,0.32,0.26,0.25,0.3,0.28,0.21,0.27,0.3,0.32,0.19
h_0,0.6,0.67,0.58,0.65,0.62,0.53,0.39,0.27,0.41,0.27,0.32,0.27,0.28,0.26,0.24,0.25
a_0,0.62,0.71,0.57,0.78,0.72,0.6,0.34,0.25,0.32,0.29,0.17,0.25,0.25,0.19,0.25,0.21
e_0,0.7,0.91,0.54,0.69,0.59,0.49,0.32,0.28,0.32,0.29,0.28,0.17,0.26,0.28,0.19,0.22
g_0,0.57,0.67,0.64,0.67,0.61,0.58,0.27,0.27,0.45,0.25,0.3,0.31,0.22,0.29,0.27,0.27
