,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,109.71,76.03,114.82,93.0,140.23,454.37,10865.63,27909.75,21424.85,22052.38,40136.15,46861.8,117168.18,145155.93,197636.8,289833.09
f_1,100.01,120.15,95.42,84.91,124.31,409.72,9754.98,20414.95,21100.06,19173.62,36756.87,33480.36,100221.88,121136.48,147663.87,271947.64
c_1,59.06,71.1,135.03,101.0,191.03,498.41,10453.0,15135.98,16679.53,20285.36,26895.63,38445.12,81724.28,117261.39,187019.76,240142.63
d_1,65.48,86.78,73.73,148.15,121.92,395.38,10226.77,14739.16,29589.12,19695.33,34693.1,39497.11,104321.61,122947.28,166674.87,228972.14
b_1,58.22,66.53,69.24,90.86,184.85,596.73,10103.14,15019.18,18717.77,17307.64,26630.05,35643.26,76071.99,116374.43,148260.42,233530.67
a_1,38.21,48.84,51.81,62.93,66.98,513.97,6421.05,9482.37,13660.35,13244.08,20513.91,24170.2,50728.51,87102.96,117829.1,158878.16
h_1,17.84,23.2,21.67,29.79,30.34,108.67,3499.31,3919.27,5467.85,6505.65,8937.93,9765.22,24927.54,30559.75,49764.26,80176.5
d_0,13.31,16.76,29.52,19.45,31.61,95.11,2428.31,4722.4,4023.47,4974.75,7846.49,8849.77,22588.06,30909.43,44554.89,54669.9
c_0,14.4,16.07,18.47,21.37,25.21,94.63,2226.12,3874.19,5608.15,4867.39,10977.93,9132.19,26588.31,29771.75,47412.12,60430.9
g_1,13.68,16.66,17.57,26.76,25.49,86.05,2056.4,3207.09,4580.74,6112.84,7077.48,10918.54,19007.05,26171.11,42946.66,47269.13
b_0,12.34,14.47,17.85,19.28,21.46,79.76,1996.7,3154.76,3528.84,4327.45,7662.18,7205.6,28519.16,23909.64,39392.15,48484.52
f_0,10.22,12.88,16.11,17.75,22.35,78.29,1983.0,3246.48,4143.29,3388.96,6685.31,9228.84,19575.29,22606.33,58244.01,39112.76
a_0,8.62,11.08,13.95,12.55,16.9,42.99,1395.5,2411.94,2656.97,2980.41,4005.8,5358.41,17321.97,17472.24,26020.26,34892.72
h_0,8.17,11.91,12.0,12.88,14.59,55.36,1136.78,2138.28,2364.4,3157.36,4516.2,5151.86,11130.91,14498.91,22073.59,39062.67
e_0,5.51,8.74,11.48,11.62,15.73,48.49,1079.59,1850.11,1872.03,2165.19,3604.03,3576.45,9304.18,15241.12,28717.81,27995.09
g_0,6.26,6.89,8.5,13.07,12.59,44.99,989.46,1706.12,2238.84,1951.91,3699.84,5168.28,9663.46,11930.41,20256.67,24045.44
