,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.95,0.65,1.17,0.97,0.86,0.79,0.77,0.8,0.55,0.69,0.71,0.75,0.65,0.65,0.65
d_1,1.06,1.0,1.06,0.85,0.96,0.86,0.74,0.56,0.55,0.82,0.67,0.55,0.59,0.62,0.57,0.38
f_1,1.54,0.94,1.0,0.97,0.82,0.7,0.56,0.73,0.73,0.63,0.59,0.49,0.39,0.46,0.5,0.61
c_1,0.85,1.17,1.03,1.0,1.49,0.8,0.76,0.73,0.51,0.49,0.56,0.63,0.68,0.51,0.59,0.5
b_1,1.03,1.04,1.23,0.67,1.0,1.36,0.79,0.76,0.75,0.86,0.87,0.67,0.67,0.62,0.45,0.71
a_1,1.16,1.16,1.42,1.26,0.73,1.0,0.91,0.76,0.61,0.78,0.81,0.77,0.66,0.72,0.67,0.69
h_1,1.26,1.36,1.82,1.31,1.25,1.13,1.0,1.18,0.91,0.97,0.82,0.86,1.14,1.0,0.95,1.05
g_1,1.29,1.78,1.38,1.42,1.24,1.3,0.84,1.0,1.01,0.87,0.97,1.26,0.68,0.79,0.81,0.79
d_0,1.23,1.79,1.39,1.95,1.28,1.79,1.14,1.01,1.0,0.94,0.75,0.88,0.89,0.83,0.76,0.9
c_0,1.73,1.26,1.66,2.0,1.23,1.21,1.01,1.11,1.07,1.0,1.3,1.14,0.94,0.89,0.81,0.92
b_0,1.47,1.42,1.67,1.72,1.17,1.29,1.2,1.06,1.35,0.81,1.0,1.09,0.87,0.79,1.24,0.88
f_0,1.37,1.74,2.02,1.66,1.49,1.27,1.15,0.75,1.15,0.85,0.97,1.0,1.14,1.32,0.79,0.82
h_0,1.35,1.65,2.49,1.57,1.46,1.46,0.83,1.5,1.07,1.04,1.14,0.95,1.0,0.91,0.81,0.88
e_0,1.41,1.73,2.25,1.95,1.65,1.33,1.03,1.32,1.22,1.11,1.27,0.79,1.16,1.0,1.04,0.85
a_0,1.56,1.62,2.02,1.84,2.31,,1.17,1.3,1.47,1.06,0.8,1.3,1.28,0.91,1.0,0.93
g_0,1.46,2.52,1.64,2.05,1.49,1.5,1.0,1.21,1.13,1.15,1.14,1.22,1.15,1.13,1.07,1.04
