,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.08,1.02,0.89,0.91,1.06,0.98,0.79,1.17,0.95,1.05,1.01,1.08,1.04,0.93,0.88
f_1,0.91,1.0,1.29,0.93,0.99,0.87,0.84,1.04,0.99,1.03,0.97,1.04,1.04,0.84,0.87,1.02
e_1,0.98,0.78,1.0,1.25,1.04,1.0,1.04,1.06,0.95,1.42,1.14,1.07,1.07,1.06,1.05,1.07
c_1,1.14,1.08,0.8,1.0,1.33,0.98,1.07,1.1,0.8,0.67,0.69,0.99,0.82,0.98,0.97,0.96
b_1,1.1,1.01,0.96,0.77,1.0,1.29,1.11,1.14,1.16,1.01,0.91,0.96,0.89,1.05,0.89,1.06
a_1,0.96,1.14,1.0,1.01,0.77,1.0,1.34,1.07,1.01,1.03,1.2,1.07,0.84,1.13,1.22,1.25
h_1,1.01,1.18,0.95,0.92,0.93,0.77,1.0,1.13,0.98,0.98,1.07,0.92,0.98,1.09,1.04,1.13
g_1,1.25,0.95,0.96,0.9,0.89,0.9,0.87,1.0,0.87,0.89,1.11,1.17,1.0,0.9,1.17,0.98
c_0,0.79,1.03,1.07,1.33,0.9,0.95,1.01,1.13,1.0,1.29,1.37,0.93,1.1,0.98,1.03,1.04
d_0,1.06,0.96,0.74,1.43,0.98,0.93,1.0,1.08,0.78,1.0,0.97,0.98,1.1,1.08,0.91,0.93
b_0,0.89,1.12,0.91,1.46,1.07,0.83,0.92,0.9,0.7,1.06,1.0,0.94,1.33,1.03,0.93,1.0
f_0,1.02,0.93,0.92,1.05,1.08,0.92,1.07,0.84,1.06,1.01,1.0,1.0,0.97,1.03,1.56,0.89
a_0,0.92,0.95,1.0,1.28,1.06,1.11,1.03,0.97,0.9,0.98,0.78,0.98,1.0,1.04,1.01,1.03
h_0,0.96,1.18,1.0,1.02,0.93,0.9,0.92,1.12,0.98,0.94,0.96,0.97,0.98,1.0,0.8,1.05
e_0,1.02,1.17,1.0,1.11,1.1,0.84,0.99,0.81,0.97,1.04,1.04,0.65,0.97,1.26,1.0,0.84
g_0,1.17,0.96,0.93,0.95,0.94,0.84,0.86,1.02,1.01,1.02,0.98,1.07,0.99,0.98,1.2,1.0
