,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.41,0.76,0.78,0.64,0.6,0.6,0.36,0.26,0.33,0.37,0.32,0.29,0.24,0.28,0.28,0.19
e_1,0.69,0.41,0.45,0.8,0.75,0.65,0.39,0.41,0.3,0.36,0.3,0.42,0.27,0.31,0.39,0.3
f_1,0.61,0.77,0.4,0.72,0.64,0.56,0.28,0.49,0.29,0.3,0.29,0.32,0.2,0.3,0.26,0.25
c_1,0.79,0.56,0.65,0.37,0.79,0.65,0.35,0.33,0.34,0.19,0.29,0.33,0.23,0.27,0.27,0.28
b_1,0.72,0.61,0.76,0.42,0.35,0.88,0.38,0.37,0.34,0.31,0.42,0.31,0.26,0.32,0.35,0.3
a_1,0.74,0.64,0.83,0.64,0.4,0.3,0.39,0.38,0.32,0.35,0.39,0.27,0.35,0.4,0.32,0.29
h_1,0.58,0.63,0.82,0.63,0.56,0.54,0.24,0.36,0.3,0.31,0.28,0.24,0.3,0.24,0.26,0.26
g_1,0.67,0.6,0.64,0.66,0.64,0.59,0.28,0.22,0.29,0.26,0.28,0.28,0.2,0.27,0.3,0.24
c_0,0.44,0.68,0.64,0.92,0.66,0.66,0.36,0.34,0.23,0.4,0.32,0.27,0.24,0.27,0.28,0.23
d_0,0.76,0.42,0.63,0.8,0.73,0.55,0.36,0.41,0.26,0.23,0.28,0.31,0.27,0.28,0.32,0.28
b_0,0.51,0.64,0.63,0.84,0.72,0.63,0.34,0.36,0.19,0.34,0.22,0.27,0.29,0.33,0.28,0.25
f_0,0.58,0.51,0.86,0.61,0.67,0.65,0.37,0.26,0.27,0.29,0.3,0.22,0.27,0.28,0.36,0.19
h_0,0.63,0.57,0.67,0.67,0.68,0.49,0.38,0.36,0.28,0.27,0.25,0.24,0.27,0.27,0.24,0.27
a_0,0.57,0.6,0.65,0.76,0.83,0.75,0.39,0.32,0.25,0.3,0.18,0.28,0.22,0.2,0.27,0.22
e_0,0.6,0.71,0.81,0.77,0.56,0.51,0.32,0.29,0.28,0.27,0.29,0.16,0.29,0.31,0.2,0.23
g_0,0.63,0.6,0.77,0.62,0.62,0.56,0.28,0.4,0.29,0.28,0.27,0.32,0.2,0.29,0.28,0.25
