,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.05,1.19,1.93,1.61,1.78,1.48,0.69,0.63,0.65,0.49,0.56,0.48,0.42,0.44,0.4,0.58
f_1,1.97,1.05,1.79,1.49,1.63,1.59,0.55,0.57,0.63,0.5,0.51,0.45,0.31,0.44,0.42,0.36
c_1,1.47,1.93,1.05,2.34,2.09,1.56,0.67,0.36,0.62,0.62,0.47,0.49,0.48,0.46,0.47,0.41
d_1,2.28,2.16,1.71,1.05,1.7,1.33,0.65,0.75,0.48,0.62,0.54,0.6,0.4,0.51,0.31,0.42
b_1,2.07,2.25,1.28,2.2,1.06,2.06,0.84,0.65,0.83,0.74,0.59,0.77,0.46,0.53,0.4,0.49
a_1,2.8,2.69,2.61,2.74,1.48,1.06,1.07,0.95,1.0,0.89,0.91,1.18,0.66,0.86,0.65,0.87
h_1,4.66,5.32,4.93,4.31,4.15,3.81,1.27,1.4,1.68,1.23,1.19,1.2,1.2,1.04,0.99,1.03
d_0,3.49,5.42,6.56,6.61,5.63,4.65,2.38,1.4,2.02,1.37,1.44,1.33,1.34,1.34,1.19,1.37
g_1,5.52,6.15,6.14,6.09,5.02,4.43,1.74,1.94,1.3,1.65,1.67,1.65,1.03,1.36,1.27,1.32
c_0,6.5,6.03,8.65,3.94,5.56,4.66,2.39,2.88,2.16,1.38,1.71,1.96,1.27,1.69,1.14,1.52
f_0,6.11,8.53,7.26,6.27,5.77,4.77,2.61,2.1,1.63,1.81,1.46,1.87,1.57,1.54,0.96,2.08
b_0,6.56,7.05,8.6,5.58,7.55,5.1,2.89,2.45,2.52,1.25,1.88,1.38,1.44,2.01,1.24,1.74
h_0,7.77,9.12,6.91,7.55,7.29,6.39,3.42,2.59,3.28,2.39,2.02,2.35,2.1,2.03,1.8,1.8
a_0,8.16,8.84,8.95,8.02,9.14,9.92,3.65,2.64,3.2,2.2,2.38,1.47,1.97,1.5,1.9,1.86
g_0,9.18,9.15,8.42,8.55,9.61,7.55,3.14,2.97,3.85,2.74,2.69,2.7,1.69,2.35,2.11,2.19
e_0,10.38,11.3,11.2,9.34,9.15,6.99,3.66,3.0,3.28,2.99,1.65,2.75,2.1,2.35,1.7,1.57
