,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.06,1.43,2.07,2.24,2.13,1.91,0.94,0.71,0.65,0.72,0.68,0.77,0.55,0.54,0.68,1.07
f_1,2.35,1.06,2.05,1.99,1.75,1.7,0.64,0.64,0.59,0.9,0.62,0.94,0.36,0.57,0.52,0.42
d_1,2.87,2.46,1.06,2.19,2.12,1.96,0.93,0.94,0.76,0.6,0.64,0.62,0.54,0.51,0.35,0.6
c_1,2.2,2.87,2.95,1.06,2.99,1.89,0.98,0.48,0.95,0.82,0.67,0.63,0.5,0.71,0.52,0.54
b_1,2.85,3.11,3.31,1.76,1.07,2.95,1.09,0.89,1.05,1.15,1.08,0.64,0.76,0.65,0.58,0.71
a_1,3.92,3.89,3.75,4.31,2.03,1.07,1.35,1.32,1.05,1.55,1.3,0.99,0.8,1.93,0.86,0.81
h_1,5.37,6.6,5.15,5.61,5.46,4.34,1.35,1.86,1.53,2.3,1.7,1.66,2.11,1.35,1.45,1.44
d_0,4.59,7.52,10.84,8.08,6.56,5.77,2.63,1.57,2.08,2.55,2.29,2.12,1.65,1.63,1.65,1.71
c_0,7.45,8.16,4.13,13.86,6.4,7.11,3.17,2.81,1.54,2.31,2.57,2.14,1.78,2.16,1.59,2.01
g_1,8.17,8.81,7.16,8.06,7.55,5.94,2.2,2.54,2.36,1.34,2.31,2.22,1.27,1.95,2.2,2.22
b_0,6.73,7.93,7.24,10.94,12.04,6.55,3.12,2.33,1.36,2.72,1.51,1.91,1.62,2.16,1.63,2.45
f_0,7.87,12.96,7.56,8.58,10.26,8.63,3.35,2.69,2.25,2.05,2.36,1.56,2.29,2.17,1.2,2.3
h_0,8.78,12.74,8.94,11.23,9.03,8.51,4.29,3.05,2.72,4.05,3.01,2.49,3.13,2.29,2.29,2.4
a_0,10.33,12.02,11.99,10.3,13.53,12.55,4.93,3.93,2.96,4.31,1.98,3.07,2.91,1.63,2.13,3.27
g_0,11.14,13.3,11.78,11.38,12.56,9.21,3.45,3.41,3.26,6.58,3.48,3.29,2.17,3.84,2.97,3.38
e_0,13.97,18.17,10.49,10.9,12.14,9.17,4.67,3.61,3.64,3.69,3.27,1.85,2.55,3.12,1.94,1.63
