,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.29,0.91,0.89,0.86,0.63,0.41,0.42,0.38,0.35,0.37,0.35,0.28,0.35,0.35,0.29
e_1,0.77,1.0,0.88,1.19,0.92,0.67,0.59,0.57,0.49,0.44,0.39,0.41,0.34,0.33,0.36,0.36
d_1,1.11,1.12,1.0,0.8,0.87,0.76,0.52,0.47,0.35,0.57,0.41,0.39,0.37,0.33,0.28,0.32
c_1,1.13,0.84,1.23,1.0,1.2,0.76,0.49,0.31,0.49,0.35,0.36,0.4,0.4,0.37,0.3,0.34
b_1,1.16,1.08,1.15,0.86,1.0,1.21,0.6,0.5,0.55,0.58,0.47,0.41,0.37,0.33,0.39,0.38
a_1,1.59,1.48,1.31,1.3,0.83,1.0,0.84,0.66,0.64,0.62,0.71,0.54,0.54,0.51,0.41,0.43
h_1,2.47,1.74,1.92,1.93,1.72,1.15,1.0,0.78,1.02,0.78,0.67,0.62,0.7,0.58,0.77,0.51
d_0,2.29,1.7,2.35,3.38,1.95,1.42,1.28,1.0,1.14,0.85,0.83,0.94,0.88,0.67,0.87,0.81
g_1,2.63,2.05,2.89,2.12,1.86,1.54,1.0,0.91,1.0,0.98,0.89,1.03,0.64,0.67,0.71,0.68
c_0,2.79,2.34,1.78,2.77,1.64,1.58,1.23,1.19,0.98,1.0,1.3,0.83,0.89,0.93,0.89,0.76
b_0,2.75,2.51,2.36,2.77,2.1,1.22,1.51,1.26,1.1,0.8,1.0,0.96,0.89,1.21,0.85,0.75
f_0,2.81,2.35,2.48,2.48,2.54,1.84,1.6,1.14,0.97,1.13,1.1,1.0,0.98,0.87,0.68,1.23
h_0,3.51,2.85,2.76,2.56,2.63,1.86,1.41,1.15,1.56,1.08,1.14,1.01,1.0,0.89,1.03,0.77
a_0,3.07,3.04,2.99,3.0,2.81,2.01,1.75,1.47,1.38,1.09,0.83,1.14,1.16,1.0,0.93,1.05
g_0,3.03,2.95,3.54,3.32,2.66,2.26,1.33,1.16,1.38,1.12,1.18,1.48,0.97,1.0,1.0,1.01
e_0,3.47,3.14,3.05,2.96,2.66,2.26,1.92,1.3,1.48,1.27,1.2,0.83,1.32,1.08,0.96,1.0
