,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.91,0.58,0.28,0.27,0.22,0.15,0.26,0.29,0.2,0.25,0.15,0.23,0.28,0.11,0.13,0.2
e_1,0.38,0.91,0.37,0.26,0.23,0.18,0.28,0.5,0.22,0.27,0.26,0.24,0.31,0.13,0.17,0.19
c_1,0.37,0.26,0.9,0.28,0.47,0.21,0.24,0.24,0.21,0.13,0.23,0.17,0.27,0.14,0.15,0.24
d_1,0.34,0.35,0.22,0.91,0.23,0.2,0.29,0.19,0.25,0.53,0.31,0.29,0.29,0.19,0.16,0.24
b_1,0.36,0.32,0.31,0.27,0.89,0.39,0.26,0.31,0.21,0.22,0.23,0.13,0.3,0.16,0.15,0.24
a_1,0.37,0.32,0.36,0.32,0.25,0.88,0.26,0.31,0.19,0.24,0.24,0.22,0.31,0.17,0.12,0.22
h_1,0.51,0.37,0.39,0.32,0.25,0.17,0.61,0.27,0.33,0.28,0.25,0.28,0.22,0.15,0.16,0.31
d_0,0.4,0.34,0.57,0.22,0.3,0.21,0.32,0.5,0.22,0.23,0.31,0.25,0.29,0.15,0.16,0.28
g_1,0.37,0.34,0.29,0.52,0.25,0.17,0.29,0.26,0.6,0.28,0.43,0.28,0.31,0.21,0.22,0.2
c_0,0.4,0.43,0.25,0.35,0.23,0.18,0.32,0.32,0.32,0.5,0.32,0.54,0.34,0.24,0.24,0.27
f_0,0.28,0.28,0.36,0.37,0.32,0.25,0.34,0.34,0.26,0.36,0.52,0.29,0.33,0.44,0.18,0.31
b_0,0.43,0.41,0.37,0.36,0.2,0.17,0.32,0.29,0.3,0.27,0.27,0.51,0.34,0.2,0.37,0.31
h_0,0.52,0.36,0.33,0.32,0.27,0.21,0.25,0.32,0.31,0.27,0.26,0.28,0.27,0.21,0.19,0.32
e_0,0.34,0.29,0.39,0.35,0.32,0.2,0.36,0.37,0.28,0.3,0.32,0.33,0.39,0.44,0.24,0.34
a_0,0.49,0.36,0.36,0.34,0.27,0.13,0.29,0.32,0.24,0.29,0.29,0.28,0.39,0.2,0.44,0.29
g_0,0.25,0.35,0.33,0.5,0.31,0.22,0.3,0.24,0.2,0.33,0.45,0.3,0.33,0.23,0.17,0.23
