,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.05,1.17,2.01,1.63,1.74,1.36,0.7,0.68,0.49,0.63,0.53,0.59,0.46,0.4,0.51,0.41
f_1,1.86,1.05,1.7,1.6,1.65,1.45,0.49,0.54,0.48,0.65,0.5,0.52,0.42,0.31,0.37,0.39
c_1,1.49,1.96,1.05,2.26,1.79,1.46,0.75,0.37,0.63,0.62,0.53,0.51,0.44,0.42,0.5,0.41
d_1,2.05,2.15,1.63,1.05,1.7,1.45,0.68,0.68,0.6,0.49,0.54,0.55,0.49,0.41,0.41,0.26
b_1,1.97,2.13,1.35,2.04,1.06,1.97,0.75,0.58,0.73,0.65,0.62,0.51,0.53,0.47,0.47,0.45
a_1,2.93,2.9,2.82,2.79,1.76,1.06,1.12,1.03,0.83,1.07,0.78,0.79,0.93,0.68,0.81,0.64
h_1,5.09,5.86,5.19,4.42,4.5,3.46,1.27,1.65,1.31,1.95,1.45,1.36,1.2,1.38,1.09,1.06
d_0,3.64,5.22,7.43,6.94,5.8,4.18,2.11,1.37,1.61,2.52,1.52,1.43,1.34,1.3,1.38,1.3
c_0,6.64,6.52,8.03,3.85,5.84,5.3,2.36,2.3,1.39,2.19,1.89,1.83,1.4,1.29,1.26,1.08
g_1,6.48,7.12,6.02,6.45,6.21,4.77,1.79,1.74,1.66,1.29,1.66,1.76,1.5,1.06,1.5,1.49
b_0,7.13,6.86,8.04,5.43,7.59,6.4,2.36,2.62,1.28,2.4,1.39,1.8,1.96,1.38,1.67,1.51
f_0,6.07,8.53,6.83,6.79,7.42,5.77,2.87,2.27,1.79,1.79,1.92,1.41,1.88,1.6,2.15,1.02
a_0,7.9,8.46,10.49,7.63,9.45,6.72,3.1,2.88,2.15,3.01,1.47,2.3,1.51,1.93,1.91,1.86
h_0,7.82,9.55,8.39,7.47,7.83,7.09,3.74,2.49,2.51,3.18,2.32,2.04,2.11,1.99,1.92,2.08
e_0,10.75,11.85,9.27,8.09,9.23,6.43,3.45,2.97,2.76,2.75,2.61,1.54,2.4,1.97,1.58,2.02
g_0,9.35,9.46,9.65,11.17,8.65,6.87,3.26,3.08,3.0,4.09,2.55,3.07,2.44,1.6,2.03,2.13
