,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.08,2.21,2.12,2.61,2.4,2.12,0.53,0.49,0.73,0.43,0.44,0.68,0.26,0.4,0.52,0.37
e_1,1.58,1.09,2.48,2.66,2.87,2.64,0.69,0.54,0.72,0.52,0.5,0.62,0.38,0.56,0.7,0.41
d_1,2.79,3.12,1.08,2.5,2.15,2.2,0.63,0.51,0.46,0.84,0.51,0.5,0.36,0.5,0.53,0.24
c_1,2.77,2.26,3.39,1.09,2.57,2.22,0.86,0.68,0.81,0.32,0.53,0.5,0.37,0.52,0.5,0.36
b_1,3.42,2.8,3.15,1.7,1.1,3.0,0.8,0.82,0.86,0.59,0.78,0.51,0.45,0.53,0.5,0.4
a_1,5.17,4.55,4.44,4.53,2.46,1.12,1.4,1.14,1.23,0.91,1.43,0.86,0.61,1.45,0.89,0.73
h_1,9.96,9.54,8.48,10.14,7.88,7.49,1.55,2.24,2.77,2.39,2.2,2.06,1.72,1.66,1.7,1.28
c_0,12.87,12.34,6.83,18.91,11.53,9.85,3.37,1.64,2.54,3.21,2.22,2.41,1.57,2.22,2.13,1.5
g_1,13.25,11.45,11.63,13.42,12.49,9.7,2.83,2.75,1.61,2.73,2.25,2.33,1.44,2.65,2.48,2.0
d_0,12.47,8.42,16.37,14.59,15.13,12.79,3.85,2.97,3.99,1.94,2.6,2.79,1.95,2.62,2.5,2.11
b_0,14.07,14.46,10.51,19.48,17.81,13.21,3.76,1.84,4.04,3.07,1.86,2.72,1.84,2.65,2.75,2.4
f_0,20.66,14.58,11.84,13.89,14.2,13.04,3.89,3.19,2.68,3.02,3.07,1.85,2.28,2.8,2.71,1.4
h_0,19.13,19.07,17.6,19.13,17.4,15.5,6.45,4.29,4.97,3.76,3.39,3.5,3.26,3.46,3.64,2.9
a_0,21.02,18.67,19.02,21.02,22.98,26.25,5.82,3.35,5.77,3.45,2.24,3.14,2.96,2.07,3.4,2.85
e_0,28.93,24.5,18.81,22.34,18.24,20.73,5.66,4.11,5.3,5.05,4.03,2.42,3.16,3.87,2.07,2.78
g_0,27.39,22.33,21.23,23.84,19.29,19.69,4.73,5.43,7.43,5.01,4.38,4.91,2.48,4.34,3.6,3.45
