,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.09,1.46,2.56,2.17,2.35,2.16,0.62,0.5,0.43,0.44,0.67,0.61,0.34,0.44,0.66,0.41
f_1,2.12,1.08,2.17,2.06,2.05,1.81,0.46,0.55,0.44,0.44,0.64,0.52,0.25,0.42,0.38,0.35
c_1,2.03,2.55,1.09,3.52,2.41,2.18,0.7,0.32,0.76,0.54,0.69,0.55,0.37,0.47,0.53,0.35
d_1,3.3,2.82,2.6,1.09,2.68,2.68,0.67,0.82,0.5,0.54,0.48,0.52,0.35,0.48,0.43,0.24
b_1,3.0,3.34,1.86,3.34,1.1,3.36,0.97,0.64,0.85,1.04,0.94,0.76,0.5,0.73,0.59,0.44
a_1,4.6,5.46,4.18,4.27,2.4,1.12,1.4,1.1,1.03,1.43,1.31,0.91,0.74,1.4,0.91,0.71
h_1,9.55,11.21,9.15,9.4,9.38,8.04,1.6,2.18,1.97,1.9,2.45,1.99,1.65,1.76,1.93,1.32
d_0,7.48,11.24,11.7,15.17,10.67,11.51,3.62,1.75,2.36,2.34,4.13,2.35,1.88,2.13,2.72,1.92
c_0,14.76,14.1,21.38,7.7,13.21,9.76,3.53,4.06,1.79,2.31,3.05,2.64,1.98,2.38,2.32,1.47
b_0,14.17,16.43,23.98,11.83,18.88,13.26,4.23,3.57,1.88,1.85,3.82,3.0,2.26,2.87,2.87,2.28
g_1,16.65,18.12,17.13,13.7,16.72,13.07,3.39,3.52,2.66,2.78,1.61,2.48,1.58,2.69,2.66,2.12
f_0,17.02,24.54,18.45,14.81,16.72,14.9,4.25,3.93,3.08,3.24,2.74,1.81,2.36,2.87,3.17,1.39
h_0,19.58,21.19,20.6,17.77,17.9,14.13,7.05,4.26,3.72,4.16,5.04,3.53,3.18,4.14,3.14,2.5
a_0,19.68,19.01,25.24,18.73,20.86,21.84,5.91,4.81,3.37,2.11,4.94,3.96,2.78,2.1,3.79,2.75
e_0,24.82,24.54,22.09,19.81,18.88,17.8,5.36,4.84,4.53,4.34,5.14,2.22,3.13,4.05,2.12,2.62
g_0,24.06,26.56,24.5,22.7,25.69,19.61,5.58,5.24,4.4,4.27,6.63,4.59,2.63,4.48,4.33,3.88
