,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,9858.11,5501.18,8245.28,7850.52,15744.84,62218.55,6454787.38,14289241.4,36406610.7,23603139.45,51374058.55,65518752.64,154684015.4,271691816.61,284113112.15,489303408.22
f_1,4473.21,11121.7,12993.96,8687.51,17627.39,52149.16,6354548.5,14513014.28,21223697.81,34840960.07,37003469.18,46079728.79,140740685.75,227657327.2,162567794.68,423295840.35
e_1,4222.0,5468.48,19027.46,12017.78,18957.3,61296.24,6111818.29,13519846.81,20447862.01,49058885.04,38757400.1,52904391.68,133774229.19,233354341.59,197775993.27,420451684.59
c_1,4637.74,4839.56,6969.71,23275.8,30751.54,81944.28,5916255.26,15014067.6,12385018.85,28870514.89,23103991.57,61513711.22,120214089.04,226771405.04,251670792.0,443875171.94
b_1,4418.63,4752.93,7540.18,10034.92,51765.92,125309.51,5725211.56,15280132.5,19795926.04,29454766.46,24783806.76,60876289.31,102560894.1,233364413.22,238779078.65,420021285.16
a_1,4431.49,5008.64,7726.3,10451.63,21510.44,248339.24,7341603.14,15974341.23,19128237.23,31204100.73,36546787.65,72113743.97,98907135.72,257424616.22,317714404.12,504050135.83
h_1,5564.23,6975.18,8225.6,9856.22,15419.76,57548.6,11576052.16,19826139.0,24010293.73,29804935.45,43676945.43,71914748.29,135357527.7,207467178.74,330020614.83,602711443.23
g_1,6636.62,5150.77,8019.82,9202.23,18208.3,61732.9,6830032.29,32341078.65,23271524.91,28550266.77,44578286.6,108912072.1,167827686.08,291003659.76,385318144.15,425481574.74
c_0,5500.53,5659.22,9810.82,8452.35,17199.21,62893.36,6762406.74,17253888.59,35676939.42,31976387.86,71536473.66,77259202.92,183019944.22,239414627.36,327728805.01,475753791.42
d_0,3863.47,5033.49,8451.01,18182.43,20441.63,70464.24,6056923.18,14360030.22,14264203.75,44551149.14,32879738.03,58696625.69,134569402.7,240881270.9,246586946.53,456545264.56
b_0,5349.26,6195.2,8027.3,11889.73,17367.4,55290.41,6914010.17,17011425.65,22775590.32,32200191.72,63257345.3,65106198.74,262906087.11,292710857.77,287418720.3,476128448.86
f_0,5793.77,4742.27,6468.67,11359.04,22666.11,74972.22,7306044.0,18211839.98,25222827.1,29389657.68,44774627.4,117880965.21,153507837.95,244132156.96,630909583.69,571289256.27
a_0,5451.16,5923.49,8367.26,11412.3,18517.95,60220.18,7039663.1,17614950.53,22174521.31,28443227.89,45384363.91,68538455.54,246467124.28,304754591.35,275201370.67,507399534.7
h_0,5496.46,6901.93,8785.56,10375.09,17182.02,66981.28,5137372.11,19337439.44,22380931.26,32124853.01,38177054.04,69779580.06,150561827.45,194451392.46,244597595.93,532218081.71
e_0,5543.33,5464.56,6715.2,10936.26,24123.3,79902.46,6980125.16,17862786.74,24605008.11,29516182.53,40360936.62,70781444.57,150686648.42,300687228.64,583499763.7,544223894.6
g_0,7546.22,5248.93,7816.08,10885.38,16643.55,57692.3,6635162.46,13009482.23,26835497.09,28509068.69,41990234.13,88199941.2,125195551.15,248675803.26,312602860.16,408775391.17
