,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.18,0.38,0.72,0.62,0.8,0.76,0.21,0.13,0.13,0.11,0.21,0.19,0.11,0.13,0.28,0.15
f_1,0.58,0.18,0.69,0.63,0.63,0.57,0.13,0.16,0.12,0.13,0.19,0.21,0.08,0.14,0.11,0.11
c_1,0.5,0.68,0.16,1.01,0.62,0.59,0.17,0.07,0.29,0.14,0.19,0.13,0.09,0.12,0.14,0.09
d_1,0.79,0.67,0.62,0.15,0.63,0.64,0.19,0.33,0.12,0.15,0.12,0.12,0.09,0.13,0.11,0.06
b_1,0.67,0.69,0.35,0.72,0.13,0.73,0.22,0.17,0.16,0.38,0.21,0.19,0.13,0.17,0.13,0.09
a_1,0.76,0.89,0.66,0.62,0.31,0.09,0.2,0.18,0.17,0.2,0.21,0.13,0.1,0.31,0.14,0.12
h_1,0.5,0.63,0.48,0.49,0.57,0.48,0.06,0.11,0.1,0.1,0.12,0.1,0.12,0.11,0.11,0.07
d_0,0.3,0.55,0.53,1.07,0.52,0.53,0.19,0.07,0.11,0.11,0.21,0.1,0.09,0.1,0.14,0.09
c_0,0.6,0.58,1.31,0.27,0.58,0.41,0.14,0.15,0.06,0.09,0.12,0.1,0.07,0.1,0.11,0.06
b_0,0.45,0.61,0.84,0.41,0.86,0.47,0.13,0.11,0.06,0.05,0.13,0.1,0.07,0.1,0.11,0.08
g_1,0.56,0.64,0.6,0.44,0.61,0.58,0.12,0.12,0.09,0.1,0.04,0.08,0.05,0.08,0.08,0.11
f_0,0.52,0.99,0.66,0.46,0.51,0.44,0.13,0.11,0.09,0.1,0.09,0.04,0.07,0.1,0.1,0.04
h_0,0.48,0.59,0.53,0.45,0.51,0.37,0.26,0.11,0.09,0.11,0.15,0.09,0.1,0.11,0.09,0.07
a_0,0.48,0.45,0.71,0.46,0.7,0.83,0.18,0.12,0.09,0.05,0.12,0.12,0.08,0.04,0.09,0.08
e_0,0.87,0.65,0.49,0.43,0.5,0.42,0.13,0.12,0.1,0.12,0.13,0.04,0.07,0.12,0.04,0.06
g_0,0.49,0.55,0.56,0.47,0.55,0.47,0.12,0.1,0.1,0.09,0.2,0.09,0.05,0.1,0.09,0.09
