,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.12,4.29,2.35,4.77,5.25,4.62,1.37,1.4,0.87,0.88,1.08,1.05,0.87,1.95,1.01,0.8
d_1,4.97,1.11,4.7,4.68,4.5,4.05,1.2,0.78,1.77,0.76,0.76,0.84,0.58,0.8,0.79,0.39
f_1,5.09,4.04,1.12,4.85,4.21,3.87,0.92,1.6,1.16,0.89,1.86,0.82,0.44,0.94,0.83,0.81
c_1,3.89,6.94,5.25,1.12,5.83,4.42,1.67,1.39,0.58,2.1,1.0,0.98,0.83,0.97,1.05,0.68
b_1,5.85,6.03,7.82,3.03,1.13,6.9,1.64,1.75,1.26,1.74,1.16,3.1,0.89,1.35,1.23,0.96
a_1,9.73,7.74,9.53,8.21,3.69,1.14,2.47,2.27,1.66,1.82,1.98,2.06,1.09,1.49,5.25,1.27
h_1,15.44,15.35,16.08,16.47,15.03,13.71,1.75,4.74,3.47,3.22,3.74,3.1,4.15,3.32,3.26,1.99
g_1,15.64,14.77,21.38,16.64,16.9,15.99,3.68,1.79,3.58,3.52,3.53,3.69,1.71,2.92,3.52,3.4
d_0,10.65,39.39,18.91,18.22,18.02,19.19,6.44,5.95,2.23,5.16,3.64,3.82,2.7,3.13,3.52,2.69
c_0,21.8,10.19,20.99,48.11,20.77,17.37,5.82,5.69,6.32,2.22,4.35,4.01,2.81,4.14,3.96,3.4
f_0,17.73,19.92,62.58,22.64,23.26,22.9,6.44,3.71,4.55,4.85,2.2,5.1,3.2,4.7,3.78,2.04
b_0,23.91,16.72,21.25,29.89,36.28,18.83,7.06,6.92,6.83,2.62,5.34,2.2,2.99,4.38,3.63,3.4
h_0,27.86,26.65,37.82,27.99,28.05,25.83,13.08,9.14,6.21,5.42,5.45,5.67,7.91,5.07,4.82,3.72
e_0,40.73,29.79,57.37,40.51,32.01,25.51,8.31,8.44,6.27,6.45,3.17,6.16,3.92,2.47,5.97,3.33
a_0,31.41,30.56,33.42,49.66,69.77,54.46,10.5,10.67,9.23,5.24,7.79,3.32,5.17,5.83,2.48,4.71
g_0,35.98,36.17,40.02,48.87,40.61,36.64,7.9,15.06,7.76,9.21,6.52,8.63,4.41,6.53,6.52,9.14
