,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.27,0.59,0.34,0.59,0.4,0.38,0.82,0.79,2.01,0.85,1.14,1.08,1.41,0.77,0.43,1.13
f_1,0.95,2.32,0.43,0.39,0.42,0.3,0.81,0.68,1.09,1.09,0.89,0.28,1.09,0.87,0.5,0.87
d_1,0.43,0.59,2.39,0.39,0.49,0.36,0.82,0.79,0.42,1.82,1.14,0.92,1.38,0.85,0.95,1.08
c_1,0.39,0.46,0.58,2.38,0.85,0.3,0.89,0.76,0.91,0.26,0.67,0.98,1.08,0.82,0.74,1.06
b_1,0.46,0.45,0.55,0.42,2.55,0.81,0.77,0.82,0.92,1.0,0.36,1.01,1.07,0.63,0.63,0.95
a_1,0.52,0.52,0.49,0.65,0.34,3.03,0.92,0.77,0.96,0.74,0.75,1.06,1.29,0.28,0.73,0.98
h_1,0.58,0.81,0.59,0.63,0.61,0.34,3.07,1.26,1.08,1.11,1.22,0.96,0.76,0.95,1.05,1.54
g_1,0.46,0.47,0.97,0.59,0.49,0.39,0.81,3.22,0.95,1.35,0.98,2.13,1.44,0.96,1.16,1.01
d_0,0.65,0.61,0.3,1.27,0.38,0.37,1.06,0.95,2.39,0.92,1.37,1.18,1.51,1.01,1.06,1.47
c_0,0.67,0.62,0.7,0.44,0.42,0.39,1.16,0.98,1.38,2.64,2.12,1.3,1.83,1.15,1.3,1.77
b_0,0.62,0.65,0.73,0.66,0.17,0.29,1.13,1.06,1.38,1.26,2.86,1.45,1.75,2.21,1.14,1.76
f_0,0.61,0.36,0.74,0.61,0.55,0.39,0.97,1.07,1.13,1.12,1.33,2.68,1.67,1.09,2.55,1.64
h_0,0.57,0.95,0.54,0.58,0.48,0.44,0.7,1.41,1.06,1.18,1.25,1.26,1.06,1.22,1.1,1.86
a_0,0.68,0.61,0.65,0.69,0.6,0.24,1.16,1.07,1.28,1.09,1.2,1.3,1.6,3.0,1.01,1.53
e_0,0.27,0.64,0.67,0.8,0.5,0.51,1.27,0.91,1.49,1.39,1.69,1.24,1.53,1.13,3.16,1.45
g_0,0.58,0.54,0.99,0.55,0.46,0.52,1.05,0.71,1.13,1.22,1.37,1.93,1.78,1.07,0.98,0.52
