,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.91,1.22,1.05,0.98,0.8,0.89,1.06,1.06,0.95,1.02,0.92,0.88,1.02,0.76,0.94
d_1,1.12,1.0,1.05,0.84,0.92,0.97,1.04,0.98,0.86,1.34,1.06,0.99,1.04,1.02,1.07,0.87
e_1,0.82,0.94,1.0,1.22,0.98,0.93,1.0,1.4,1.08,0.94,1.08,1.27,1.02,1.01,1.2,1.11
c_1,0.97,1.22,0.82,1.0,1.37,1.11,0.91,0.69,0.93,0.86,0.82,0.9,0.99,0.95,0.93,1.03
b_1,1.0,1.07,0.99,0.74,1.0,1.3,1.11,0.95,1.04,1.1,0.94,0.98,1.03,0.9,0.97,1.1
a_1,1.2,1.03,1.04,0.93,0.79,1.0,1.13,1.04,1.14,0.96,1.06,0.99,1.14,1.02,1.03,0.93
h_1,1.1,0.93,1.01,1.14,0.92,0.89,1.0,0.96,1.1,0.87,0.97,0.93,0.99,0.89,0.92,1.21
d_0,0.95,1.03,0.74,1.4,1.1,0.99,1.05,1.0,1.01,0.75,0.97,1.02,1.01,0.96,1.04,1.03
g_1,0.98,1.16,0.9,1.06,0.98,0.88,0.92,0.92,1.0,0.99,1.0,1.07,0.9,1.08,0.98,1.1
c_0,1.05,0.75,1.08,1.16,0.85,1.02,1.12,1.31,1.04,1.0,1.45,1.07,1.06,1.09,1.07,1.01
b_0,0.95,0.93,0.94,1.21,1.06,0.85,1.04,0.98,1.02,0.73,1.0,1.01,1.11,1.38,1.19,1.04
f_0,1.04,0.96,0.85,1.11,1.02,1.02,1.04,0.96,0.92,0.92,0.99,1.0,1.02,0.94,1.42,0.85
h_0,1.16,0.96,1.0,1.04,0.92,0.84,0.98,0.97,1.14,0.9,0.95,0.95,1.0,0.93,0.92,1.14
a_0,0.96,0.96,0.93,1.03,1.15,1.07,1.15,1.01,0.96,0.93,0.78,1.05,1.08,1.0,1.01,1.06
e_0,1.25,0.94,0.89,1.09,1.06,0.92,1.04,0.94,1.02,0.93,0.87,0.7,1.14,1.03,1.0,0.89
g_0,1.03,1.13,0.9,0.99,0.91,1.03,0.84,0.97,0.91,0.98,0.99,1.09,0.86,0.91,1.13,1.0
