,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.51,1.4,0.91,0.87,0.63,0.63,0.92,0.95,1.06,0.99,0.97,0.67,1.0,0.89,0.95,0.62
e_1,0.86,1.53,1.08,0.84,0.95,0.71,1.03,0.95,1.68,1.02,0.98,1.03,1.26,0.95,1.05,0.78
c_1,0.93,0.82,1.55,0.87,1.32,0.73,1.05,0.95,0.9,0.67,0.72,0.98,1.09,0.78,1.05,0.89
d_1,1.03,0.96,0.79,1.58,0.75,0.75,1.03,0.94,0.82,1.61,1.15,1.09,1.15,0.94,1.02,0.9
b_1,1.16,0.78,0.89,0.93,1.63,1.2,1.15,1.02,1.04,1.08,0.81,0.96,1.28,0.69,1.15,0.75
a_1,1.21,0.96,1.0,0.9,0.82,1.78,1.19,1.04,1.25,1.09,1.06,1.04,1.43,0.8,1.15,0.71
h_1,1.57,1.13,0.97,1.19,0.94,0.84,1.82,1.33,1.21,1.22,1.32,1.08,1.35,1.1,1.57,0.95
g_1,1.15,1.1,1.11,1.56,1.01,0.85,1.21,1.88,1.3,1.29,1.42,1.63,1.45,1.38,1.21,1.3
d_0,1.15,0.93,1.91,1.01,1.17,0.74,1.4,1.33,1.74,0.95,1.22,1.35,1.54,1.21,1.39,1.25
c_0,1.28,1.25,1.19,1.18,0.81,0.96,1.29,1.32,1.66,1.77,2.15,1.4,1.78,1.67,1.65,1.42
b_0,1.33,1.22,1.29,1.32,0.81,0.95,1.4,1.31,1.3,1.22,1.82,1.28,1.59,2.1,1.48,1.2
f_0,1.26,0.96,1.3,1.31,1.05,0.82,1.41,1.3,1.45,1.43,1.55,1.85,1.83,1.4,1.35,2.17
h_0,1.53,1.12,1.28,1.32,1.1,0.84,1.1,1.63,1.38,1.28,1.43,1.22,1.32,1.26,1.61,1.11
a_0,1.35,1.26,1.37,1.34,1.14,0.78,1.53,1.31,1.38,1.1,1.32,1.41,1.58,1.88,1.4,1.37
g_0,1.33,1.16,1.15,1.71,1.07,0.91,1.35,1.29,1.19,1.28,1.51,1.92,1.56,1.36,1.3,1.42
e_0,1.54,0.97,1.31,1.31,1.51,1.14,1.54,1.37,1.46,1.28,1.68,1.22,1.79,1.26,1.47,2.02
