,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.87,1.41,1.18,1.28,3.06,15.07,25.64,29.64,31.51,34.65,40.69,57.32,97.69,100.07,87.27
d_1,1.13,1.0,1.12,1.03,1.4,2.63,16.52,22.38,26.65,45.09,36.81,45.51,69.09,72.89,95.68,93.03
e_1,0.71,0.89,1.0,1.27,1.47,3.71,17.55,26.68,38.46,34.42,42.01,49.69,75.22,89.36,100.99,123.62
c_1,0.85,0.97,0.78,1.0,1.67,2.24,12.72,19.84,17.3,23.12,30.46,28.96,63.99,75.64,78.49,88.15
b_1,0.78,0.71,0.68,0.6,1.0,3.66,13.33,20.06,19.19,25.88,25.62,31.75,46.21,69.26,60.4,75.74
a_1,0.32,0.38,0.27,0.44,0.28,1.0,5.43,8.03,9.11,9.59,11.74,14.76,21.98,26.57,25.39,30.73
h_1,0.07,0.06,0.06,0.08,0.08,0.2,1.0,1.77,1.56,1.87,2.0,2.51,3.87,6.01,4.96,6.04
g_1,0.04,0.05,0.04,0.05,0.05,0.12,0.57,1.0,0.94,1.27,1.59,1.85,2.32,3.15,3.26,3.91
d_0,0.03,0.04,0.03,0.06,0.05,0.12,0.64,1.08,1.0,0.97,1.17,1.44,2.44,3.25,3.43,3.73
c_0,0.03,0.02,0.03,0.04,0.04,0.1,0.54,0.82,1.05,1.0,1.13,1.81,2.19,2.8,3.18,3.48
f_0,0.03,0.03,0.02,0.03,0.04,0.09,0.48,0.66,0.86,0.85,1.0,1.23,1.78,1.87,2.56,3.87
b_0,0.03,0.02,0.02,0.03,0.03,0.06,0.41,0.53,0.66,0.55,0.84,1.0,1.71,2.07,3.3,2.38
h_0,0.02,0.01,0.01,0.02,0.02,0.04,0.27,0.42,0.4,0.44,0.56,0.6,1.0,1.56,1.34,1.29
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.17,0.31,0.29,0.38,0.51,0.49,0.62,1.0,1.14,1.1
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.19,0.29,0.28,0.29,0.41,0.31,0.77,0.9,1.0,0.89
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.26,0.27,0.28,0.27,0.42,0.78,0.92,1.29,1.0
