,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.95,0.47,0.84,0.55,0.45,0.32,0.35,0.31,0.36,0.29,0.24,0.27,0.28,0.29,0.24,0.16
d_1,0.64,0.96,0.58,0.46,0.5,0.31,0.37,0.31,0.29,0.5,0.33,0.37,0.34,0.27,0.24,0.23
e_1,0.53,0.49,0.95,0.62,0.5,0.39,0.39,0.33,0.54,0.33,0.34,0.34,0.34,0.28,0.25,0.21
c_1,0.58,0.61,0.49,0.95,0.82,0.3,0.38,0.3,0.28,0.22,0.31,0.24,0.33,0.29,0.22,0.22
b_1,0.62,0.57,0.56,0.5,0.95,0.68,0.43,0.34,0.34,0.33,0.33,0.25,0.3,0.32,0.18,0.25
a_1,0.73,0.76,0.6,0.73,0.43,0.94,0.43,0.42,0.43,0.38,0.41,0.4,0.39,0.33,0.2,0.28
h_1,1.06,0.83,0.75,0.89,0.68,0.5,0.79,0.56,0.51,0.44,0.44,0.46,0.39,0.51,0.31,0.37
g_1,0.8,1.22,0.81,0.88,0.73,0.55,0.51,0.77,0.47,0.54,0.64,0.53,0.45,0.36,0.31,0.39
d_0,0.88,0.82,0.74,1.37,0.85,0.51,0.61,0.54,0.71,0.39,0.44,0.46,0.46,0.46,0.4,0.36
c_0,0.99,0.87,0.85,0.85,0.73,0.63,0.67,0.59,0.68,0.71,0.59,0.82,0.54,0.49,0.48,0.45
f_0,0.8,1.06,0.79,0.95,0.85,0.62,0.68,0.56,0.59,0.58,0.71,0.54,0.56,0.42,0.41,0.66
b_0,1.1,1.04,0.84,1.07,0.7,0.54,0.65,0.52,0.6,0.45,0.56,0.69,0.62,0.5,0.69,0.42
h_0,1.32,1.05,0.94,0.9,0.9,0.6,0.57,0.68,0.59,0.54,0.56,0.54,0.47,0.62,0.4,0.37
g_0,0.89,1.41,0.98,0.99,0.82,0.62,0.67,0.6,0.57,0.64,0.8,0.58,0.49,0.46,0.46,0.45
a_0,1.05,1.24,0.99,1.05,0.95,0.56,0.81,0.66,0.68,0.55,0.65,0.47,0.65,0.58,0.65,0.39
e_0,1.19,1.22,0.62,1.17,0.98,0.7,0.8,0.64,0.62,0.58,0.54,0.63,0.66,0.6,0.49,0.66
