,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.06,2.17,2.01,1.82,1.96,1.66,0.62,0.8,0.66,0.53,0.8,0.6,0.41,0.49,0.54,0.48
e_1,1.4,1.06,2.45,2.19,2.06,1.69,0.81,0.86,0.72,0.64,0.76,0.61,0.52,0.91,0.61,0.5
c_1,2.45,1.77,1.06,2.59,2.28,1.52,0.8,0.82,0.42,0.73,0.59,0.59,0.5,0.55,0.52,0.54
d_1,2.45,2.5,2.11,1.05,2.2,1.79,0.8,0.54,1.09,0.69,0.6,0.53,0.5,0.55,0.48,0.36
b_1,2.59,2.73,1.56,2.46,1.06,3.08,1.03,0.91,0.73,1.05,0.71,1.16,0.57,0.64,0.68,0.5
a_1,3.69,3.23,4.5,4.06,1.79,1.07,1.34,1.34,0.97,0.99,1.06,1.45,0.96,0.97,1.31,0.79
h_1,5.89,5.7,5.21,5.39,4.72,4.5,1.34,2.22,1.72,1.78,1.82,1.55,1.59,1.5,1.31,1.43
g_1,6.73,6.74,6.5,7.19,6.85,4.47,1.9,1.33,1.76,1.9,2.19,1.67,1.07,1.35,1.6,1.5
d_0,6.43,4.26,7.82,6.96,7.83,5.21,2.57,2.65,1.56,1.72,1.92,1.76,1.58,1.69,1.72,1.57
c_0,7.34,7.25,11.04,4.17,6.85,7.18,2.67,2.62,2.56,1.49,2.02,2.25,1.66,1.72,1.9,1.42
f_0,9.58,6.24,8.01,6.9,7.31,5.24,2.63,1.73,2.09,2.2,1.46,2.2,1.7,1.79,2.05,1.04
b_0,7.96,8.0,10.01,6.98,9.27,5.39,3.31,2.88,2.26,1.34,2.04,1.49,1.95,1.73,2.5,1.59
h_0,9.7,8.7,8.62,8.04,8.41,7.15,4.01,3.89,2.5,2.22,2.4,2.08,2.33,2.11,1.93,1.73
e_0,13.03,12.05,9.17,9.13,9.34,7.76,3.26,3.56,3.14,2.56,1.75,3.18,2.26,1.58,2.57,1.69
a_0,9.86,9.81,10.47,11.53,10.09,11.71,4.32,3.35,2.66,2.65,2.89,1.54,2.25,2.2,1.61,2.05
g_0,11.12,10.21,9.95,9.54,10.44,10.69,3.14,5.05,3.48,2.9,3.64,3.12,2.03,2.73,2.54,2.9
