,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.74,1.19,0.89,1.03,0.71,0.71,0.95,0.68,0.65,0.62,0.74,0.65,0.61,0.66,0.58
f_1,1.32,1.0,0.99,0.96,0.86,0.76,0.56,0.68,0.62,0.57,0.6,0.58,0.48,0.5,0.43,0.56
c_1,0.86,1.01,1.0,1.06,1.28,0.98,0.71,0.45,0.66,0.56,0.52,0.59,0.59,0.53,0.54,0.57
d_1,1.09,1.06,0.92,1.0,0.95,0.8,0.72,0.64,0.59,0.87,0.71,0.62,0.58,0.66,0.58,0.47
b_1,0.95,1.2,0.79,1.05,1.0,1.34,0.73,0.68,0.74,0.85,0.79,0.66,0.71,0.56,0.6,0.63
a_1,1.45,1.29,1.04,1.24,0.77,1.0,0.95,0.83,0.88,0.75,0.88,0.74,0.74,0.64,0.67,0.68
h_1,1.43,1.82,1.39,1.37,1.33,1.08,1.0,0.94,1.23,0.81,0.88,0.89,0.92,0.91,0.76,0.86
d_0,1.05,1.42,2.32,1.51,1.51,1.19,1.09,1.0,1.11,0.8,0.94,0.96,0.88,0.84,0.91,0.93
g_1,1.45,1.54,1.61,1.68,1.35,1.18,0.85,0.87,1.0,0.98,0.93,1.06,0.86,0.84,0.97,0.79
c_0,1.53,1.66,1.81,1.19,1.21,1.28,1.28,1.28,1.02,1.0,1.37,1.06,0.98,0.95,0.98,0.87
b_0,1.54,1.67,2.0,1.4,1.24,1.15,1.11,1.1,1.18,0.76,1.0,1.01,0.97,1.16,0.97,0.85
f_0,1.32,1.89,1.75,1.6,1.47,1.27,1.12,1.01,0.94,0.98,0.98,1.0,1.06,1.04,1.16,0.73
h_0,1.55,2.0,1.7,1.68,1.42,1.3,1.1,1.15,1.17,1.02,1.01,0.98,1.0,0.88,0.91,1.1
a_0,1.63,2.06,1.91,1.52,1.79,1.45,1.12,1.2,1.25,1.09,0.84,1.02,1.16,1.0,1.0,0.97
e_0,1.58,2.35,1.78,1.74,1.58,1.46,1.36,1.09,1.07,0.99,1.06,0.8,1.17,0.94,1.0,0.91
g_0,1.68,1.82,1.7,2.16,1.56,1.46,1.16,1.09,1.29,1.21,1.21,1.36,0.93,0.97,1.11,1.0
