,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,4.29,3.85,3.66,3.2,3.39,1.59,1.79,1.46,1.58,1.68,,0.95,1.45,1.43,1.82
e_1,2.34,0.42,4.0,3.7,3.83,4.14,1.77,2.44,1.27,2.16,1.85,1.7,1.27,1.5,,1.1
d_1,3.56,3.57,0.4,3.04,3.7,3.35,1.91,1.47,1.79,,1.59,1.81,1.35,1.73,1.97,0.79
c_1,3.77,3.26,4.56,0.39,3.57,2.51,2.09,1.87,,1.04,1.9,1.71,1.23,1.36,1.73,1.49
b_1,4.38,3.23,3.27,2.45,0.37,5.02,2.15,1.76,2.02,1.57,,1.33,1.66,1.44,1.57,1.08
a_1,3.69,4.14,4.4,5.03,2.07,0.3,1.55,1.76,1.96,1.45,1.5,1.43,,,,
h_1,1.72,1.92,1.85,1.46,1.72,1.94,0.26,0.99,0.9,1.06,0.67,0.67,,0.73,0.8,0.84
g_1,2.74,1.74,1.63,2.15,1.53,2.01,0.83,0.23,0.82,0.7,0.84,1.02,0.62,1.01,0.65,
c_0,1.65,2.01,1.02,,1.64,1.42,0.85,1.33,0.28,0.83,0.82,0.6,0.54,0.63,0.61,0.63
d_0,1.32,0.9,,1.94,1.62,1.58,0.7,1.05,0.77,0.29,0.82,0.72,0.61,0.75,0.65,0.85
b_0,1.44,1.72,2.01,1.47,,1.79,1.03,0.84,0.43,0.59,0.27,0.63,0.65,0.98,0.65,0.87
f_0,,1.49,1.42,1.58,1.74,1.6,1.0,0.53,0.79,0.78,0.92,0.25,0.71,,0.63,0.47
h_0,1.44,1.47,1.24,1.34,1.58,,,0.53,0.65,0.45,0.51,0.59,,0.51,0.73,0.54
a_0,2.32,1.69,1.31,1.68,1.77,,0.92,1.01,0.79,0.75,0.37,,0.64,0.23,0.65,
e_0,1.65,,1.38,1.53,1.68,,0.76,1.0,0.96,0.72,0.69,0.77,0.35,0.65,0.21,
g_0,1.14,1.81,1.48,1.28,1.43,,0.46,,0.51,0.5,0.52,0.55,0.42,,,
