,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.41,0.72,0.66,0.69,0.68,0.61,0.28,0.39,0.3,0.27,0.27,0.33,0.26,0.19,0.26,0.27
e_1,0.47,0.41,0.68,0.72,0.71,0.7,0.42,0.38,0.38,0.32,0.32,0.37,0.34,0.26,0.27,0.37
d_1,0.71,0.71,0.4,0.66,0.62,0.59,0.34,0.25,0.37,0.36,0.33,0.31,0.29,0.24,0.2,0.3
c_1,0.65,0.59,0.76,0.39,0.78,0.65,0.33,0.33,0.2,0.36,0.26,0.26,0.29,0.26,0.25,0.25
b_1,0.68,0.75,0.74,0.43,0.36,0.72,0.4,0.44,0.31,0.35,0.35,0.31,0.32,0.28,0.28,0.33
a_1,0.8,0.68,0.66,0.69,0.41,0.31,0.42,0.4,0.33,0.33,0.36,0.3,0.48,0.37,0.26,0.34
h_1,0.73,0.53,0.59,0.7,0.6,0.54,0.24,0.4,0.3,0.28,0.28,0.26,0.26,0.29,0.24,0.29
g_1,0.65,0.6,0.68,0.73,0.62,0.57,0.27,0.22,0.28,0.26,0.25,0.31,0.24,0.18,0.28,0.26
d_0,0.62,0.41,0.84,0.76,0.66,0.64,0.31,0.43,0.23,0.25,0.29,0.27,0.3,0.27,0.25,0.27
c_0,0.79,0.59,0.4,0.9,0.67,0.59,0.33,0.35,0.42,0.23,0.36,0.3,0.3,0.26,0.25,0.29
b_0,0.69,0.56,0.5,0.87,0.92,0.59,0.35,0.36,0.32,0.17,0.22,0.26,0.32,0.27,0.27,0.27
f_0,0.85,0.57,0.55,0.66,0.63,0.64,0.35,0.24,0.31,0.24,0.32,0.21,0.28,0.25,0.18,0.37
a_0,0.7,0.54,0.6,0.64,0.8,0.73,0.36,0.38,0.28,0.24,0.18,0.29,0.19,0.24,0.23,0.25
h_0,0.75,0.61,0.61,0.64,0.64,0.46,0.38,0.37,0.29,0.28,0.25,0.27,0.28,0.28,0.24,0.26
g_0,0.67,0.61,0.62,0.66,0.61,0.62,0.27,0.31,0.29,0.27,0.27,0.3,0.28,0.2,0.28,0.26
e_0,0.79,0.64,0.58,0.74,0.6,0.6,0.3,0.34,0.26,0.24,0.29,0.14,0.3,0.25,0.21,0.18
