,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.91,0.33,0.44,0.48,0.35,0.25,0.39,0.27,0.31,0.59,0.31,0.29,0.34,0.23,0.17,0.27
d_1,0.42,0.92,0.41,0.31,0.33,0.24,0.42,0.32,0.62,0.21,0.33,0.35,0.35,0.27,0.27,0.33
f_1,0.66,0.38,0.92,0.35,0.29,0.22,0.37,0.3,0.33,0.36,0.23,0.3,0.3,0.26,0.14,0.28
c_1,0.33,0.38,0.42,0.91,0.61,0.29,0.36,0.26,0.23,0.31,0.29,0.19,0.37,0.18,0.22,0.32
b_1,0.38,0.39,0.39,0.37,0.91,0.49,0.37,0.3,0.26,0.33,0.28,0.19,0.37,0.17,0.24,0.3
a_1,0.44,0.43,0.41,0.38,0.35,0.89,0.38,0.34,0.31,0.34,0.3,0.3,0.33,0.19,0.27,0.27
h_1,0.41,0.46,0.55,0.41,0.34,0.23,0.66,0.39,0.36,0.33,0.34,0.36,0.29,0.24,0.24,0.42
g_1,0.4,0.62,0.41,0.33,0.35,0.28,0.42,0.65,0.44,0.29,0.47,0.35,0.33,0.24,0.28,0.3
c_0,0.44,0.52,0.47,0.32,0.33,0.23,0.46,0.36,0.58,0.36,0.38,0.61,0.39,0.36,0.26,0.35
d_0,0.39,0.32,0.44,0.71,0.43,0.23,0.4,0.28,0.23,0.55,0.3,0.29,0.37,0.22,0.22,0.33
f_0,0.36,0.45,0.42,0.41,0.43,0.26,0.46,0.4,0.4,0.35,0.55,0.38,0.43,0.24,0.5,0.39
b_0,0.4,0.53,0.49,0.43,0.28,0.18,0.42,0.34,0.39,0.34,0.36,0.54,0.43,0.51,0.28,0.35
h_0,0.4,0.48,0.54,0.43,0.36,0.28,0.32,0.42,0.33,0.35,0.33,0.33,0.28,0.26,0.25,0.45
a_0,0.4,0.47,0.49,0.43,0.35,0.2,0.46,0.35,0.39,0.36,0.34,0.36,0.43,0.48,0.3,0.4
e_0,0.34,0.51,0.47,0.4,0.35,0.27,0.49,0.36,0.4,0.33,0.37,0.37,0.46,0.26,0.52,0.39
g_0,0.34,0.62,0.36,0.45,0.35,0.27,0.37,0.28,0.39,0.29,0.48,0.33,0.36,0.23,0.3,0.28
