,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.42,1.05,1.64,1.42,3.65,16.25,29.52,28.4,35.57,37.89,40.8,73.67,60.2,91.96,150.06
e_1,0.71,1.0,1.06,1.71,1.5,4.46,19.2,28.84,26.33,49.94,47.91,38.36,76.54,97.45,99.82,134.99
d_1,0.96,0.95,1.0,1.31,1.5,3.83,17.36,19.24,39.0,30.65,35.5,38.47,73.58,81.78,76.8,99.87
c_1,0.62,0.58,0.76,1.0,1.56,2.62,11.37,18.25,16.54,16.92,22.43,22.13,47.74,54.23,56.51,78.56
b_1,0.71,0.66,0.67,0.64,1.0,3.51,11.45,16.98,19.87,24.13,24.2,22.67,61.55,52.36,53.53,79.19
a_1,0.27,0.22,0.26,0.38,0.28,1.0,5.02,6.54,8.24,9.29,9.01,10.89,21.88,23.19,26.54,31.97
h_1,0.06,0.05,0.06,0.09,0.09,0.2,1.0,1.58,1.5,1.79,2.21,1.87,4.26,3.93,5.1,9.2
g_1,0.03,0.03,0.05,0.05,0.06,0.16,0.65,1.0,0.97,1.24,1.83,1.43,2.6,3.06,3.39,4.26
c_0,0.04,0.04,0.03,0.06,0.04,0.12,0.66,1.0,1.0,1.64,1.34,2.04,2.9,3.03,3.3,4.22
d_0,0.03,0.02,0.03,0.06,0.04,0.1,0.56,0.81,0.6,1.0,0.98,1.01,2.18,2.74,2.75,3.79
f_0,0.03,0.02,0.03,0.05,0.04,0.11,0.46,0.53,0.76,0.99,1.0,1.02,2.31,3.79,2.51,2.58
b_0,0.02,0.02,0.03,0.05,0.04,0.09,0.54,0.71,0.52,0.99,0.96,1.0,2.31,2.25,3.59,3.4
h_0,0.01,0.01,0.01,0.02,0.02,0.05,0.23,0.4,0.36,0.44,0.44,0.45,1.0,0.85,1.12,1.67
e_0,0.02,0.01,0.01,0.02,0.02,0.04,0.26,0.32,0.32,0.37,0.28,0.45,1.18,1.0,1.13,1.47
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.2,0.3,0.31,0.38,0.39,0.29,0.94,0.89,1.0,1.51
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.11,0.22,0.23,0.25,0.37,0.32,0.63,0.67,0.66,1.0
