,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.39,0.45,0.23,0.3,0.26,0.29,0.45,0.66,0.53,0.5,0.65,,0.63,0.67,0.77,0.72
e_1,0.24,2.41,0.25,0.31,0.26,0.25,0.58,0.9,0.54,0.64,0.51,0.7,0.64,0.56,0.84,
d_1,0.32,0.26,2.48,0.26,0.29,0.32,0.52,,0.39,1.0,0.61,0.49,0.92,0.56,0.61,0.56
c_1,0.27,0.21,0.27,2.54,0.42,0.32,0.5,0.51,0.69,,0.49,0.75,0.95,0.64,0.66,
b_1,0.25,0.25,0.28,0.29,2.74,,0.59,0.65,0.6,0.55,,0.66,0.64,,0.84,0.64
a_1,0.27,0.31,0.24,0.25,,3.34,0.54,0.75,0.63,0.72,0.64,0.56,0.88,,0.61,
h_1,0.77,0.48,0.52,0.55,0.5,0.54,3.59,1.24,1.25,1.16,0.97,0.91,,1.22,1.84,1.29
d_0,0.65,0.68,,1.01,0.47,0.46,1.44,3.43,1.24,1.47,1.15,1.15,1.99,1.12,1.77,1.02
g_1,0.55,0.35,0.87,0.39,0.53,0.44,1.05,0.94,4.25,1.05,1.46,2.18,1.41,,,
c_0,0.63,0.63,0.58,,0.55,0.53,1.22,1.22,1.15,3.51,2.43,1.39,1.69,1.63,1.63,1.34
b_0,0.45,0.64,0.58,0.63,,0.6,1.51,1.71,1.09,1.07,3.74,1.47,1.58,2.49,1.71,1.43
f_0,,0.58,0.73,0.52,0.63,0.61,1.37,1.57,0.94,1.76,1.58,3.75,2.22,1.52,1.13,2.06
h_0,1.08,0.86,0.69,0.68,0.84,0.59,,1.24,1.78,1.69,1.82,1.18,,1.43,3.02,1.55
a_0,0.53,0.59,0.53,0.54,,,1.11,1.65,,1.31,1.11,1.6,2.02,4.51,1.94,
g_0,0.64,0.61,1.11,1.05,0.81,0.77,1.09,1.46,,1.69,1.49,2.63,2.01,1.33,,
e_0,0.55,,0.72,,0.64,,1.63,1.57,,1.09,1.81,1.24,1.74,,,4.84
